Batter,Kind,count
A Ashish Reddy,bowled,5
A Ashish Reddy,caught,8
A Ashish Reddy,run out,2
A Badoni,bowled,4
A Badoni,caught,32
A Badoni,hit wicket,1
A Badoni,lbw,1
A Badoni,run out,4
A Badoni,stumped,4
A Chopra,caught,2
A Chopra,lbw,1
A Chopra,run out,2
A Chopra,stumped,1
A Choudhary,caught,1
A Flintoff,caught,1
A Flintoff,caught and bowled,1
A Kamboj,bowled,1
A Kamboj,caught,2
A Kumble,bowled,1
A Kumble,caught,1
A Kumble,run out,1
A Manohar,bowled,4
A Manohar,caught,13
A Manohar,hit wicket,1
A Manohar,stumped,1
A Mhatre,caught,12
A Mishra,bowled,9
A Mishra,caught,10
A Mishra,caught and bowled,1
A Mishra,lbw,1
A Mishra,obstructing the field,1
A Mishra,run out,10
A Mithun,bowled,1
A Mithun,caught,4
A Mukund,bowled,2
A Nehra,bowled,1
A Nehra,caught,5
A Nehra,run out,1
A Nel,run out,1
A Nortje,bowled,3
A Nortje,caught,3
A Nortje,run out,1
A Raghuvanshi,bowled,1
A Raghuvanshi,caught,20
A Raghuvanshi,lbw,2
A Raghuvanshi,obstructing the field,1
A Raghuvanshi,run out,2
A Singh,bowled,2
A Singh,caught and bowled,1
A Singh,stumped,1
A Symonds,bowled,7
A Symonds,caught,14
A Symonds,run out,4
A Symonds,stumped,2
A Tomar,caught,1
A Uniyal,bowled,1
A Zampa,bowled,1
A Zampa,caught,2
A Zampa,run out,2
AA Bilakhia,caught,2
AA Bilakhia,lbw,2
AA Bilakhia,stumped,1
AA Chavan,caught,1
AA Chavan,run out,1
AA Jhunjhunwala,bowled,2
AA Jhunjhunwala,caught,8
AA Jhunjhunwala,run out,3
AA Kulkarni,caught,3
AA Kulkarni,lbw,1
AA Noffke,run out,1
AB Agarkar,caught,6
AB Agarkar,caught and bowled,1
AB Agarkar,run out,3
AB Barath,caught,1
AB Barath,lbw,1
AB Dinda,bowled,3
AB Dinda,caught,4
AB Dinda,lbw,1
AB Dinda,run out,2
AB McDonald,bowled,1
AB McDonald,caught,3
AB McDonald,caught and bowled,1
AB de Villiers,bowled,24
AB de Villiers,caught,78
AB de Villiers,caught and bowled,2
AB de Villiers,lbw,6
AB de Villiers,run out,14
AB de Villiers,stumped,6
AC Blizzard,bowled,1
AC Blizzard,caught,6
AC Gilchrist,bowled,12
AC Gilchrist,caught,53
AC Gilchrist,caught and bowled,2
AC Gilchrist,lbw,4
AC Gilchrist,run out,2
AC Gilchrist,stumped,3
AC Thomas,bowled,1
AC Thomas,run out,1
AC Voges,caught,4
AD Hales,bowled,2
AD Hales,caught,3
AD Hales,lbw,1
AD Mascarenhas,bowled,3
AD Mascarenhas,caught,4
AD Mascarenhas,run out,2
AD Mathews,bowled,4
AD Mathews,caught,20
AD Mathews,lbw,2
AD Mathews,run out,4
AD Mathews,stumped,1
AD Nath,bowled,1
AD Nath,caught,8
AD Nath,lbw,1
AD Russell,bowled,21
AD Russell,caught,59
AD Russell,caught and bowled,3
AD Russell,lbw,1
AD Russell,run out,9
AD Russell,stumped,2
AF Milne,bowled,2
AF Milne,caught,2
AG Murtaza,stumped,1
AG Paunikar,bowled,1
AG Paunikar,caught,3
AG Paunikar,stumped,1
AJ Finch,bowled,24
AJ Finch,caught,44
AJ Finch,caught and bowled,2
AJ Finch,lbw,7
AJ Finch,run out,3
AJ Finch,stumped,3
AJ Turner,bowled,1
AJ Turner,caught,2
AJ Turner,caught and bowled,1
AJ Turner,lbw,1
AJ Tye,bowled,2
AJ Tye,caught,5
AJ Tye,lbw,1
AJ Tye,run out,1
AK Markram,bowled,11
AK Markram,caught,39
AK Markram,lbw,3
AK Markram,run out,1
AK Markram,stumped,2
AL Menaria,bowled,3
AL Menaria,caught,15
AL Menaria,caught and bowled,2
AL Menaria,run out,1
AM Nayar,bowled,4
AM Nayar,caught,21
AM Nayar,lbw,5
AM Nayar,run out,8
AM Rahane,bowled,22
AM Rahane,caught,114
AM Rahane,caught and bowled,9
AM Rahane,lbw,19
AM Rahane,run out,8
AM Rahane,stumped,6
AN Ahmed,bowled,1
AN Ghosh,caught,2
AP Dole,caught,2
AP Majumdar,bowled,1
AP Majumdar,caught,1
AP Majumdar,caught and bowled,1
AP Majumdar,stumped,1
AP Tare,bowled,4
AP Tare,caught,17
AP Tare,caught and bowled,1
AP Tare,run out,2
AR Patel,bowled,16
AR Patel,caught,62
AR Patel,caught and bowled,1
AR Patel,lbw,5
AR Patel,run out,9
AR Patel,stumped,3
AS Joseph,caught,1
AS Rajpoot,bowled,2
AS Rajpoot,caught,2
AS Rajpoot,run out,1
AS Raut,bowled,2
AS Raut,caught,3
AS Raut,lbw,1
AS Raut,run out,2
AS Raut,stumped,1
AS Roy,caught,5
AS Roy,caught and bowled,2
AS Roy,lbw,1
AS Yadav,bowled,1
AS Yadav,caught,4
AT Carey,caught,2
AT Rayudu,bowled,29
AT Rayudu,caught,92
AT Rayudu,caught and bowled,7
AT Rayudu,lbw,4
AT Rayudu,run out,15
AT Rayudu,stumped,7
AU Rashid,caught,1
AU Rashid,stumped,1
AUK Pathan,bowled,2
AUK Pathan,caught,2
AUK Pathan,lbw,1
Abdul Samad,bowled,7
Abdul Samad,caught,28
Abdul Samad,caught and bowled,4
Abdul Samad,lbw,2
Abdul Samad,run out,4
Abhishek Sharma,bowled,7
Abhishek Sharma,caught,69
Abhishek Sharma,caught and bowled,1
Abhishek Sharma,lbw,1
Abhishek Sharma,run out,2
Abhishek Sharma,stumped,1
Abishek Porel,bowled,5
Abishek Porel,caught,23
Abishek Porel,stumped,2
Akash Deep,caught,2
Akash Deep,caught and bowled,1
Akshat Raghuwanshi,caught,1
Akshat Raghuwanshi,caught and bowled,1
Aman Hakim Khan,bowled,2
Aman Hakim Khan,caught,7
Aniket Verma,caught,12
Aniket Verma,lbw,1
Aniket Verma,run out,2
Anirudh Singh,bowled,1
Anirudh Singh,caught,2
Anirudh Singh,caught and bowled,1
Ankit Sharma,caught,7
Ankit Soni,bowled,2
Anmolpreet Singh,bowled,1
Anmolpreet Singh,caught,6
Anmolpreet Singh,caught and bowled,1
Anmolpreet Singh,lbw,1
Anuj Rawat,bowled,1
Anuj Rawat,caught,9
Anuj Rawat,lbw,4
Anuj Rawat,run out,2
Anureet Singh,bowled,1
Anureet Singh,caught,3
Arjun Tendulkar,caught,1
Arshad Khan,bowled,1
Arshad Khan,caught,4
Arshad Khan,lbw,1
Arshad Khan (2),bowled,1
Arshdeep Singh,caught,3
Arshdeep Singh,run out,3
Ashutosh Sharma,bowled,1
Ashutosh Sharma,caught,13
Ashutosh Sharma,lbw,1
Ashutosh Sharma,run out,3
Ashutosh Sharma,stumped,1
Atharva Taide,bowled,1
Atharva Taide,caught,5
Atharva Taide,caught and bowled,2
Atharva Taide,lbw,1
Auqib Nabi,caught,1
Avesh Khan,bowled,2
Avesh Khan,caught,1
Avesh Khan,run out,1
Azhar Mahmood,bowled,2
Azhar Mahmood,caught,9
Azhar Mahmood,caught and bowled,1
Azhar Mahmood,lbw,3
Azhar Mahmood,run out,3
Azhar Mahmood,stumped,1
Azmatullah Omarzai,caught,10
B Akhil,bowled,1
B Akhil,caught,3
B Akhil,lbw,1
B Akhil,run out,1
B Chipli,bowled,4
B Chipli,caught,10
B Chipli,lbw,1
B Indrajith,caught,3
B Kumar,bowled,11
B Kumar,caught,19
B Kumar,caught and bowled,1
B Kumar,lbw,2
B Kumar,run out,5
B Laughlin,bowled,1
B Laughlin,caught,1
B Lee,bowled,1
B Lee,caught,6
B Lee,run out,3
B Sai Sudharsan,bowled,3
B Sai Sudharsan,caught,39
B Sai Sudharsan,caught and bowled,1
B Sai Sudharsan,hit wicket,3
B Sai Sudharsan,lbw,3
B Sai Sudharsan,run out,2
B Sumanth,bowled,1
BA Bhatt,run out,1
BA Stokes,bowled,13
BA Stokes,caught,21
BA Stokes,caught and bowled,4
BAW Mendis,bowled,1
BAW Mendis,lbw,1
BB McCullum,bowled,17
BB McCullum,caught,62
BB McCullum,caught and bowled,1
BB McCullum,lbw,16
BB McCullum,run out,5
BB McCullum,stumped,3
BB Samantray,bowled,1
BB Samantray,caught,2
BB Samantray,lbw,1
BB Samantray,run out,1
BB Sran,run out,1
BCJ Cutting,bowled,2
BCJ Cutting,caught,6
BCJ Cutting,lbw,1
BCJ Cutting,run out,1
BCJ Cutting,stumped,1
BE Hendricks,bowled,1
BJ Haddin,caught,1
BJ Hodge,bowled,9
BJ Hodge,caught,23
BJ Hodge,lbw,6
BJ Hodge,run out,2
BJ Hodge,stumped,2
BJ Rohrer,bowled,4
BJ Rohrer,caught,3
BKG Mendis,hit wicket,1
BMAJ Mendis,caught,1
BMAJ Mendis,caught and bowled,1
BMAJ Mendis,run out,1
BR Dunk,bowled,1
BR Dunk,caught,2
BR Sharath,caught,1
Basil Thampi,bowled,1
Bipul Sharma,bowled,1
Bipul Sharma,caught,4
Bipul Sharma,run out,3
C Bosch,caught,2
C Bosch,run out,1
C Connolly,bowled,3
C Connolly,caught,8
C Green,bowled,10
C Green,caught,14
C Green,caught and bowled,1
C Green,run out,1
C Green,stumped,1
C Madan,caught,1
C Munro,bowled,2
C Munro,caught,5
C Munro,lbw,2
C Munro,run out,3
C Nanda,run out,1
C Sakariya,bowled,1
C Sakariya,caught,3
C Sakariya,caught and bowled,1
C Sakariya,run out,1
C de Grandhomme,bowled,3
C de Grandhomme,caught,9
C de Grandhomme,lbw,1
C de Grandhomme,run out,2
C de Grandhomme,stumped,1
CA Ingram,bowled,2
CA Ingram,caught,7
CA Ingram,lbw,2
CA Ingram,run out,1
CA Lynn,bowled,9
CA Lynn,caught,21
CA Lynn,caught and bowled,4
CA Lynn,lbw,3
CA Lynn,run out,2
CA Pujara,bowled,4
CA Pujara,caught,12
CA Pujara,lbw,1
CA Pujara,run out,2
CH Gayle,bowled,25
CH Gayle,caught,82
CH Gayle,caught and bowled,4
CH Gayle,lbw,10
CH Gayle,run out,2
CH Gayle,stumped,3
CH Morris,bowled,6
CH Morris,caught,15
CH Morris,caught and bowled,1
CH Morris,lbw,2
CH Morris,run out,3
CH Morris,stumped,1
CJ Anderson,bowled,4
CJ Anderson,caught,11
CJ Anderson,lbw,1
CJ Anderson,run out,3
CJ Anderson,stumped,3
CJ Ferguson,caught,1
CJ Ferguson,caught and bowled,2
CJ Ferguson,lbw,1
CJ Ferguson,run out,1
CJ Ferguson,stumped,1
CJ Jordan,bowled,1
CJ Jordan,caught,6
CJ Jordan,caught and bowled,1
CJ Jordan,run out,2
CJ McKay,caught,1
CK Kapugedera,caught,3
CK Langeveldt,bowled,2
CL White,bowled,4
CL White,caught,22
CL White,caught and bowled,3
CL White,lbw,1
CL White,run out,5
CL White,stumped,1
CM Gautam,caught,7
CM Gautam,lbw,1
CM Gautam,run out,1
CM Gautam,stumped,1
CR Brathwaite,bowled,1
CR Brathwaite,caught,9
CR Brathwaite,caught and bowled,1
CR Brathwaite,lbw,1
CR Brathwaite,run out,1
