Batter,season,Phase,runs,balls_faced,fours,sixes,strike_rate,boundary_pct
A Ashish Reddy,2012,Death,25,19,3,0,131.58,15.79
A Ashish Reddy,2012,Middle,10,10,0,1,100.0,10.0
A Ashish Reddy,2013,Death,96,66,5,5,145.45,15.15
A Ashish Reddy,2013,Middle,24,17,2,0,141.18,11.76
A Ashish Reddy,2013,Powerplay,5,6,1,0,83.33,16.67
A Ashish Reddy,2015,Death,56,31,3,4,180.65,22.58
A Ashish Reddy,2015,Middle,17,15,0,1,113.33,6.67
A Ashish Reddy,2016,Death,15,11,0,1,136.36,9.09
A Ashish Reddy,2016,Middle,32,18,2,3,177.78,27.78
A Badoni,2022,Death,84,50,5,5,168.0,20.0
A Badoni,2022,Middle,76,74,6,2,102.7,10.81
A Badoni,2022,Powerplay,1,6,0,0,16.67,0.0
A Badoni,2023,Death,128,72,6,8,177.78,19.44
A Badoni,2023,Middle,101,84,6,4,120.24,11.9
A Badoni,2023,Powerplay,8,15,1,0,53.33,6.67
A Badoni,2024,Death,120,72,13,3,166.67,22.22
A Badoni,2024,Middle,106,83,8,2,127.71,12.05
A Badoni,2024,Powerplay,9,16,1,0,56.25,6.25
A Badoni,2025,Death,106,56,11,5,189.29,28.57
A Badoni,2025,Middle,212,155,16,8,136.77,15.48
A Badoni,2025,Powerplay,11,10,0,1,110.0,10.0
A Badoni,2026,Death,8,7,0,1,114.29,14.29
A Badoni,2026,Middle,112,82,11,3,136.59,17.07
A Badoni,2026,Powerplay,95,52,12,5,182.69,32.69
A Chandila,2012,Death,0,1,0,0,0.0,0.0
A Chandila,2013,Death,4,6,0,0,66.67,0.0
A Chopra,2008,Middle,19,17,2,0,111.76,11.76
A Chopra,2008,Powerplay,23,35,3,0,65.71,8.57
A Chopra,2009,Middle,7,15,1,0,46.67,6.67
A Chopra,2009,Powerplay,4,4,1,0,100.0,25.0
A Choudhary,2017,Death,24,19,1,1,126.32,10.53
A Choudhary,2017,Middle,1,1,0,0,100.0,0.0
A Dananjaya,2018,Death,4,5,0,0,80.0,0.0
A Flintoff,2009,Death,22,13,2,1,169.23,23.08
A Flintoff,2009,Middle,26,27,2,0,96.3,7.41
A Flintoff,2009,Powerplay,14,13,1,1,107.69,15.38
A Kamboj,2024,Middle,2,2,0,0,100.0,0.0
A Kamboj,2025,Death,14,12,2,0,116.67,16.67
A Kamboj,2026,Death,37,23,2,2,160.87,17.39
A Kamboj,2026,Middle,21,13,1,2,161.54,23.08
A Kumble,2008,Death,8,14,0,0,57.14,0.0
A Kumble,2008,Middle,5,3,1,0,166.67,33.33
A Kumble,2009,Death,15,14,2,0,107.14,14.29
A Kumble,2009,Middle,1,5,0,0,20.0,0.0
A Kumble,2010,Death,6,11,0,0,54.55,0.0
A Manohar,2022,Death,37,23,5,1,160.87,26.09
A Manohar,2022,Middle,59,40,7,2,147.5,22.5
A Manohar,2022,Powerplay,12,12,2,0,100.0,16.67
A Manohar,2023,Death,48,23,1,5,208.7,26.09
A Manohar,2023,Middle,66,60,5,2,110.0,11.67
A Manohar,2024,Middle,9,10,1,0,90.0,10.0
A Manohar,2024,Powerplay,0,6,0,0,0.0,0.0
A Manohar,2025,Death,31,21,2,2,147.62,19.05
A Manohar,2025,Middle,30,40,0,2,75.0,5.0
A Mhatre,2025,Death,0,1,0,0,0.0,0.0
A Mhatre,2025,Middle,63,34,4,4,185.29,23.53
A Mhatre,2025,Powerplay,177,92,27,7,192.39,36.96
A Mhatre,2026,Death,4,4,0,0,100.0,0.0
A Mhatre,2026,Middle,98,55,5,8,178.18,23.64
A Mhatre,2026,Powerplay,98,53,15,4,184.91,35.85
A Mishra,2008,Death,1,4,0,0,25.0,0.0
A Mishra,2008,Middle,36,38,3,0,94.74,7.89
A Mishra,2009,Death,26,20,2,2,130.0,20.0
A Mishra,2010,Death,19,20,1,0,95.0,5.0
A Mishra,2010,Middle,19,30,0,0,63.33,0.0
A Mishra,2011,Death,66,46,9,1,143.48,21.74
A Mishra,2011,Middle,2,3,0,0,66.67,0.0
A Mishra,2012,Death,16,18,1,0,88.89,5.56
A Mishra,2012,Middle,0,2,0,0,0.0,0.0
A Mishra,2013,Death,34,25,4,0,136.0,16.0
A Mishra,2013,Middle,54,65,5,0,83.08,7.69
A Mishra,2013,Powerplay,1,5,0,0,20.0,0.0
A Mishra,2014,Death,4,7,0,0,57.14,0.0
A Mishra,2015,Death,6,8,0,0,75.0,0.0
A Mishra,2015,Middle,2,4,0,0,50.0,0.0
A Mishra,2016,Middle,4,14,0,0,28.57,0.0
A Mishra,2017,Death,37,32,2,2,115.62,12.5
A Mishra,2017,Middle,12,20,0,0,60.0,0.0
A Mishra,2018,Death,1,2,0,0,50.0,0.0
A Mishra,2019,Death,13,15,1,0,86.67,6.67
A Mishra,2019,Middle,8,9,1,0,88.89,11.11
A Mishra,2023,Death,13,12,2,0,108.33,16.67
A Mishra,2023,Middle,6,18,0,0,33.33,0.0
A Mithun,2010,Death,5,4,1,0,125.0,25.0
A Mithun,2011,Death,6,5,1,0,120.0,20.0
A Mithun,2011,Middle,21,15,2,1,140.0,20.0
A Mithun,2013,Death,2,2,0,0,100.0,0.0
A Mukund,2008,Death,0,1,0,0,0.0,0.0
A Mukund,2013,Middle,5,6,0,0,83.33,0.0
A Mukund,2013,Powerplay,14,15,1,0,93.33,6.67
A Nehra,2008,Death,2,12,0,0,16.67,0.0
A Nehra,2009,Death,1,1,0,0,100.0,0.0
A Nehra,2010,Death,17,16,1,1,106.25,12.5
A Nehra,2010,Middle,5,3,1,0,166.67,33.33
A Nehra,2012,Death,11,12,1,0,91.67,8.33
A Nehra,2013,Death,1,8,0,0,12.5,0.0
A Nehra,2015,Death,1,7,0,0,14.29,0.0
A Nehra,2016,Death,1,1,0,0,100.0,0.0
A Nortje,2020,Death,7,6,0,0,116.67,0.0
A Nortje,2022,Death,0,3,0,0,0.0,0.0
A Nortje,2022,Middle,1,3,0,0,33.33,0.0
A Nortje,2023,Death,36,28,6,0,128.57,21.43
A Nortje,2023,Middle,1,1,0,0,100.0,0.0
A Nortje,2024,Death,3,6,0,0,50.0,0.0
A Nortje,2024,Middle,1,2,0,0,50.0,0.0
A Nortje,2026,Death,0,1,0,0,0.0,0.0
A Raghuvanshi,2024,Middle,85,56,7,4,151.79,19.64
A Raghuvanshi,2024,Powerplay,78,49,9,4,159.18,26.53
A Raghuvanshi,2025,Death,52,35,5,2,148.57,20.0
A Raghuvanshi,2025,Middle,172,136,15,3,126.47,13.24
A Raghuvanshi,2025,Powerplay,76,43,10,3,176.74,30.23
A Raghuvanshi,2026,Death,66,32,6,4,206.25,31.25
A Raghuvanshi,2026,Middle,227,153,22,8,148.37,19.61
A Raghuvanshi,2026,Powerplay,129,102,12,7,126.47,18.63
A Singh,2009,Death,1,3,0,0,33.33,0.0
A Singh,2011,Death,1,2,0,0,50.0,0.0
A Singh,2011,Middle,0,2,0,0,0.0,0.0
A Singh,2012,Death,0,2,0,0,0.0,0.0
A Symonds,2008,Death,38,14,2,4,271.43,42.86
