Batter,season,runs,balls_faced,innings,fours,sixes,strike_rate,dismissals,average
A Ashish Reddy,2012,35,29,5,3,1,120.69,4.0,8.75
A Ashish Reddy,2013,125,89,10,8,5,140.45,6.0,20.83
A Ashish Reddy,2015,73,46,5,3,5,158.7,3.0,24.33
A Ashish Reddy,2016,47,29,3,2,4,162.07,2.0,23.5
A Badoni,2022,161,130,11,11,7,123.85,8.0,20.12
A Badoni,2023,237,171,12,13,12,138.6,10.0,23.7
A Badoni,2024,235,171,12,22,5,137.43,8.0,29.38
A Badoni,2025,329,221,11,27,14,148.87,10.0,32.9
A Badoni,2026,215,141,10,23,9,152.48,10.0,21.5
A Chandila,2012,0,1,1,0,0,0.0,0.0,
A Chandila,2013,4,6,1,0,0,66.67,0.0,
A Chopra,2008,42,52,5,5,0,80.77,5.0,8.4
A Chopra,2009,11,19,1,2,0,57.89,1.0,11.0
A Choudhary,2017,25,20,3,1,1,125.0,1.0,25.0
A Dananjaya,2018,4,5,1,0,0,80.0,0.0,
A Flintoff,2009,62,53,3,5,2,116.98,2.0,31.0
A Kamboj,2024,2,2,1,0,0,100.0,0.0,
A Kamboj,2025,14,12,5,2,0,116.67,2.0,7.0
A Kamboj,2026,58,36,4,3,4,161.11,1.0,58.0
A Kumble,2008,13,17,4,1,0,76.47,2.0,6.5
A Kumble,2009,16,19,6,2,0,84.21,1.0,16.0
A Kumble,2010,6,11,5,0,0,54.55,0.0,
A Manohar,2022,108,75,7,14,3,144.0,6.0,18.0
A Manohar,2023,114,83,6,6,7,137.35,6.0,19.0
A Manohar,2024,9,16,2,1,0,56.25,2.0,4.5
A Manohar,2025,61,61,5,2,4,100.0,5.0,12.2
A Mhatre,2025,240,127,7,31,11,188.98,7.0,34.29
A Mhatre,2026,200,112,6,20,12,178.57,6.0,33.33
A Mishra,2008,37,42,3,3,0,88.1,3.0,12.33
A Mishra,2009,26,20,5,2,2,130.0,3.0,8.67
A Mishra,2010,38,50,7,1,0,76.0,4.0,9.5
A Mishra,2011,68,49,9,9,1,138.78,4.0,17.0
A Mishra,2012,16,20,5,1,0,80.0,3.0,5.33
A Mishra,2013,89,95,6,9,0,93.68,6.0,14.83
A Mishra,2014,4,7,2,0,0,57.14,1.0,4.0
A Mishra,2015,8,12,4,0,0,66.67,2.0,4.0
A Mishra,2016,4,14,2,0,0,28.57,2.0,2.0
A Mishra,2017,49,52,6,2,2,94.23,1.0,49.0
A Mishra,2018,1,2,1,0,0,50.0,0.0,
A Mishra,2019,21,24,4,2,0,87.5,2.0,10.5
A Mishra,2023,19,30,1,2,0,63.33,1.0,19.0
A Mithun,2010,5,4,1,1,0,125.0,1.0,5.0
A Mithun,2011,27,20,4,3,1,135.0,3.0,9.0
A Mithun,2013,2,2,1,0,0,100.0,1.0,2.0
A Mukund,2008,0,1,1,0,0,0.0,1.0,0.0
A Mukund,2013,19,21,1,1,0,90.48,1.0,19.0
A Nehra,2008,2,12,3,0,0,16.67,1.0,2.0
A Nehra,2009,1,1,1,0,0,100.0,0.0,
A Nehra,2010,22,19,2,2,1,115.79,1.0,22.0
A Nehra,2012,11,12,2,1,0,91.67,0.0,
A Nehra,2013,1,8,4,0,0,12.5,4.0,0.25
A Nehra,2015,1,7,4,0,0,14.29,1.0,1.0
A Nehra,2016,1,1,1,0,0,100.0,0.0,
A Nortje,2020,7,6,3,0,0,116.67,1.0,7.0
A Nortje,2022,1,6,1,0,0,16.67,0.0,
A Nortje,2023,37,29,7,6,0,127.59,3.0,12.33
A Nortje,2024,4,8,2,0,0,50.0,2.0,2.0
A Nortje,2026,0,1,1,0,0,0.0,1.0,0.0
A Raghuvanshi,2024,163,105,7,16,8,155.24,7.0,23.29
A Raghuvanshi,2025,300,214,11,30,8,140.19,9.0,33.33
A Raghuvanshi,2026,422,287,12,40,19,147.04,10.0,42.2
A Singh,2009,1,3,2,0,0,33.33,1.0,1.0
A Singh,2011,1,4,2,0,0,25.0,2.0,0.5
A Singh,2012,0,2,1,0,0,0.0,1.0,0.0
A Symonds,2008,161,104,3,15,9,154.81,2.0,80.5
A Symonds,2009,248,163,8,15,11,152.15,7.0,35.43
A Symonds,2010,429,340,16,35,18,126.18,14.0,30.64
A Symonds,2011,135,138,9,9,3,97.83,4.0,33.75
A Tomar,2022,4,8,1,1,0,50.0,1.0,4.0
A Uniyal,2010,4,7,2,0,0,57.14,1.0,4.0
A Zampa,2016,0,1,1,0,0,0.0,1.0,0.0
A Zampa,2017,5,7,1,1,0,71.43,1.0,5.0
A Zampa,2023,10,16,3,0,0,62.5,3.0,3.33
AA Bilakhia,2009,67,80,6,5,0,83.75,4.0,16.75
AA Bilakhia,2010,2,4,1,0,0,50.0,1.0,2.0
AA Chavan,2011,1,3,1,0,0,33.33,1.0,1.0
AA Chavan,2012,11,8,2,2,0,137.5,1.0,11.0
AA Jhunjhunwala,2010,183,166,10,16,4,110.24,9.0,20.33
AA Jhunjhunwala,2011,10,17,2,2,0,58.82,2.0,5.0
AA Jhunjhunwala,2012,24,26,3,1,1,92.31,2.0,12.0
AA Kulkarni,2024,9,8,2,2,0,112.5,2.0,4.5
AA Kulkarni,2026,17,25,2,1,0,68.0,2.0,8.5
AA Noffke,2008,9,10,1,1,0,90.0,1.0,9.0
AB Agarkar,2008,54,45,6,5,2,120.0,5.0,10.8
AB Agarkar,2009,66,57,5,3,3,115.79,2.0,33.0
AB Agarkar,2010,39,28,4,4,0,139.29,1.0,39.0
AB Agarkar,2011,6,5,1,1,0,120.0,1.0,6.0
AB Agarkar,2013,12,16,2,0,0,75.0,1.0,12.0
AB Barath,2010,42,42,3,5,1,100.0,2.0,21.0
AB Dinda,2008,2,4,2,0,0,50.0,1.0,2.0
AB Dinda,2009,2,3,2,0,0,66.67,2.0,1.0
AB Dinda,2010,0,1,1,0,0,0.0,1.0,0.0
AB Dinda,2011,0,5,1,0,0,0.0,1.0,0.0
AB Dinda,2012,2,5,1,0,0,40.0,1.0,2.0
AB Dinda,2013,9,11,5,1,0,81.82,2.0,4.5
AB Dinda,2014,4,12,3,0,0,33.33,1.0,4.0
AB Dinda,2017,7,7,1,1,0,100.0,1.0,7.0
AB McDonald,2009,3,4,1,0,0,75.0,1.0,3.0
AB McDonald,2010,65,52,3,3,2,125.0,0.0,
AB McDonald,2011,8,7,1,0,0,114.29,1.0,8.0
AB McDonald,2012,47,35,3,6,2,134.29,2.0,23.5
AB McDonald,2013,0,2,1,0,0,0.0,1.0,0.0
AB de Villiers,2008,95,98,6,5,1,96.94,5.0,19.0
AB de Villiers,2009,459,354,13,39,11,129.66,9.0,51.0
AB de Villiers,2010,111,119,7,7,0,93.28,7.0,15.86
AB de Villiers,2011,306,242,13,21,13,126.45,9.0,34.0
AB de Villiers,2012,318,197,13,26,15,161.42,8.0,39.75
AB de Villiers,2013,373,223,14,34,17,167.26,10.0,37.3
AB de Villiers,2014,389,248,13,26,23,156.85,11.0,35.36
AB de Villiers,2015,511,291,14,60,22,175.6,11.0,46.45
AB de Villiers,2016,682,405,16,56,37,168.4,13.0,52.46
AB de Villiers,2017,216,163,9,12,16,132.52,8.0,27.0
AB de Villiers,2018,480,275,11,39,30,174.55,9.0,53.33
AB de Villiers,2019,442,287,13,31,26,154.01,10.0,44.2
AB de Villiers,2020,453,287,14,33,23,157.84,10.0,45.3
AB de Villiers,2021,313,211,14,23,16,148.34,10.0,31.3
AC Blizzard,2011,120,87,6,21,2,137.93,6.0,20.0
AC Blizzard,2012,0,3,1,0,0,0.0,1.0,0.0
AC Gilchrist,2008,431,314,14,50,19,137.26,13.0,33.15
AC Gilchrist,2009,486,322,16,52,29,150.93,16.0,30.38
AC Gilchrist,2010,289,185,16,31,16,156.22,16.0,18.06
AC Gilchrist,2011,378,291,14,40,18,129.9,14.0,27.0
AC Gilchrist,2012,168,142,7,20,4,118.31,5.0,33.6
AC Gilchrist,2013,294,229,13,41,6,128.38,12.0,24.5
AC Thomas,2011,1,4,2,0,0,25.0,0.0,
AC Thomas,2012,19,15,2,1,1,126.67,2.0,9.5
AC Voges,2010,181,143,7,15,3,126.57,4.0,45.25
AD Hales,2018,147,117,6,13,6,125.64,6.0,24.5
AD Mascarenhas,2008,9,8,1,0,1,112.5,1.0,9.0
AD Mascarenhas,2009,39,39,4,4,0,100.0,4.0,9.75
AD Mascarenhas,2010,12,10,2,0,0,120.0,1.0,12.0
AD Mascarenhas,2012,14,16,3,1,0,87.5,3.0,4.67
AD Mascarenhas,2013,5,5,1,0,0,100.0,0.0,
AD Mathews,2009,16,13,1,2,0,123.08,1.0,16.0
AD Mathews,2010,232,183,10,18,8,126.78,7.0,33.14
AD Mathews,2012,127,108,8,5,4,117.59,7.0,18.14
AD Mathews,2013,172,139,10,5,10,123.74,7.0,24.57
AD Mathews,2015,143,103,10,12,6,138.83,7.0,20.43
AD Mathews,2017,32,27,2,2,1,118.52,2.0,16.0
AD Nath,2016,20,27,3,1,0,74.07,3.0,6.67
AD Nath,2017,0,1,1,0,0,0.0,1.0,0.0
AD Nath,2018,9,13,1,1,0,69.23,1.0,9.0
AD Nath,2019,61,57,5,5,2,107.02,5.0,12.2
AD Russell,2012,47,26,2,3,3,180.77,2.0,23.5
AD Russell,2013,11,14,2,0,0,78.57,2.0,5.5
AD Russell,2014,2,8,2,0,0,25.0,2.0,1.0
AD Russell,2015,326,169,11,35,19,192.9,9.0,36.22
AD Russell,2016,188,114,8,10,15,164.91,7.0,26.86
AD Russell,2018,316,170,14,17,31,185.88,11.0,28.73
AD Russell,2019,508,249,13,32,51,204.02,10.0,50.8
AD Russell,2020,115,79,9,9,9,145.57,9.0,12.78
AD Russell,2021,182,117,8,14,14,155.56,7.0,26.0
AD Russell,2022,330,189,12,17,32,174.6,9.0,36.67
AD Russell,2023,226,155,14,13,18,145.81,11.0,20.55
AD Russell,2024,214,117,9,18,16,182.91,7.0,30.57
AD Russell,2025,167,102,10,16,14,163.73,9.0,18.56
AF Milne,2017,7,12,3,0,0,58.33,2.0,3.5
AF Milne,2021,16,17,3,0,1,94.12,2.0,8.0
AF Milne,2026,2,2,1,0,0,100.0,0.0,
