Batter,Opponent,runs,balls_faced,innings,strike_rate
A Ashish Reddy,Chennai Super Kings,45,25,3,180.0
A Ashish Reddy,Delhi Daredevils,36,23,3,156.52
A Ashish Reddy,Kings XI Punjab,37,23,3,160.87
A Ashish Reddy,Kolkata Knight Riders,17,13,2,130.77
A Ashish Reddy,Mumbai Indians,27,25,2,108.0
A Ashish Reddy,Pune Warriors,26,19,2,136.84
A Ashish Reddy,Rajasthan Royals,37,24,3,154.17
A Ashish Reddy,Royal Challengers Bengaluru,55,41,5,134.15
A Badoni,Chennai Super Kings,123,76,4,161.84
A Badoni,Delhi Capitals,129,83,7,155.42
A Badoni,Gujarat Titans,148,111,7,133.33
A Badoni,Kolkata Knight Riders,162,131,6,123.66
A Badoni,Mumbai Indians,108,75,6,144.0
A Badoni,Punjab Kings,252,155,8,162.58
A Badoni,Rajasthan Royals,75,66,8,113.64
A Badoni,Royal Challengers Bengaluru,85,75,5,113.33
A Badoni,Sunrisers Hyderabad,95,62,5,153.23
A Chandila,Deccan Chargers,0,1,1,0.0
A Chandila,Royal Challengers Bengaluru,4,6,1,66.67
A Chopra,Deccan Chargers,35,42,2,83.33
A Chopra,Delhi Daredevils,13,17,1,76.47
A Chopra,Kings XI Punjab,2,3,1,66.67
A Chopra,Mumbai Indians,1,4,1,25.0
A Chopra,Royal Challengers Bengaluru,2,5,1,40.0
A Choudhary,Gujarat Lions,15,12,1,125.0
A Choudhary,Kings XI Punjab,4,6,1,66.67
A Choudhary,Sunrisers Hyderabad,6,2,1,300.0
A Dananjaya,Delhi Daredevils,4,5,1,80.0
A Flintoff,Delhi Daredevils,16,17,1,94.12
A Flintoff,Mumbai Indians,24,23,1,104.35
A Flintoff,Royal Challengers Bengaluru,22,13,1,169.23
A Kamboj,Gujarat Titans,19,8,1,237.5
A Kamboj,Kolkata Knight Riders,9,6,3,150.0
A Kamboj,Punjab Kings,0,1,1,0.0
A Kamboj,Rajasthan Royals,12,12,2,100.0
A Kamboj,Royal Challengers Bengaluru,19,12,1,158.33
A Kamboj,Sunrisers Hyderabad,15,11,2,136.36
A Kumble,Chennai Super Kings,3,6,2,50.0
A Kumble,Deccan Chargers,4,6,3,66.67
A Kumble,Delhi Daredevils,2,2,2,100.0
A Kumble,Kings XI Punjab,9,14,4,64.29
A Kumble,Mumbai Indians,9,11,3,81.82
A Kumble,Rajasthan Royals,8,8,1,100.0
A Manohar,Chennai Super Kings,12,12,1,100.0
A Manohar,Delhi Capitals,39,55,4,70.91
A Manohar,Kolkata Knight Riders,16,12,2,133.33
A Manohar,Lucknow Super Giants,20,18,3,111.11
A Manohar,Mumbai Indians,87,61,3,142.62
A Manohar,Rajasthan Royals,71,44,4,161.36
A Manohar,Royal Challengers Bengaluru,12,11,1,109.09
A Manohar,Sunrisers Hyderabad,35,22,2,159.09
A Mhatre,Delhi Capitals,59,36,1,163.89
A Mhatre,Gujarat Titans,34,17,1,200.0
A Mhatre,Kolkata Knight Riders,38,19,2,200.0
A Mhatre,Mumbai Indians,32,15,1,213.33
A Mhatre,Punjab Kings,79,48,2,164.58
A Mhatre,Rajasthan Royals,43,21,2,204.76
A Mhatre,Royal Challengers Bengaluru,95,51,2,186.27
A Mhatre,Sunrisers Hyderabad,60,32,2,187.5
A Mishra,Chennai Super Kings,58,63,8,92.06
A Mishra,Deccan Chargers,6,14,4,42.86
A Mishra,Delhi Daredevils,22,19,2,115.79
A Mishra,Gujarat Lions,8,2,1,400.0
A Mishra,Kings XI Punjab,27,32,6,84.38
A Mishra,Kochi Tuskers Kerala,0,1,1,0.0
A Mishra,Kolkata Knight Riders,62,64,8,96.88
A Mishra,Mumbai Indians,87,85,10,102.35
A Mishra,Pune Warriors,30,25,2,120.0
A Mishra,Rajasthan Royals,30,49,7,61.22
A Mishra,Rising Pune Supergiants,13,9,1,144.44
A Mishra,Royal Challengers Bengaluru,36,52,4,69.23
A Mishra,Sunrisers Hyderabad,1,2,1,50.0
A Mithun,Chennai Super Kings,11,8,1,137.5
A Mithun,Delhi Daredevils,5,6,2,83.33
A Mithun,Kings XI Punjab,16,10,2,160.0
A Mithun,Kolkata Knight Riders,2,2,1,100.0
A Mukund,Rajasthan Royals,19,22,2,86.36
A Nehra,Chennai Super Kings,1,3,2,33.33
A Nehra,Deccan Chargers,21,15,1,140.0
A Nehra,Delhi Daredevils,1,1,1,100.0
A Nehra,Kings XI Punjab,5,19,5,26.32
A Nehra,Kolkata Knight Riders,1,5,2,20.0
A Nehra,Mumbai Indians,1,6,2,16.67
A Nehra,Rajasthan Royals,9,8,1,112.5
A Nehra,Royal Challengers Bengaluru,0,2,2,0.0
A Nehra,Sunrisers Hyderabad,0,1,1,0.0
A Nortje,Chennai Super Kings,1,7,2,14.29
A Nortje,Delhi Capitals,0,1,1,0.0
A Nortje,Gujarat Titans,7,8,2,87.5
A Nortje,Kings XI Punjab,3,1,1,300.0
A Nortje,Kolkata Knight Riders,4,6,1,66.67
A Nortje,Mumbai Indians,5,3,1,166.67
A Nortje,Rajasthan Royals,0,1,1,0.0
A Nortje,Royal Challengers Bengaluru,23,14,1,164.29
A Nortje,Sunrisers Hyderabad,6,9,4,66.67
A Raghuvanshi,Chennai Super Kings,52,39,3,133.33
A Raghuvanshi,Delhi Capitals,99,61,3,162.3
A Raghuvanshi,Gujarat Titans,117,60,3,195.0
A Raghuvanshi,Lucknow Super Giants,98,77,5,127.27
A Raghuvanshi,Mumbai Indians,90,51,3,176.47
A Raghuvanshi,Punjab Kings,44,35,2,125.71
A Raghuvanshi,Rajasthan Royals,106,85,4,124.71
A Raghuvanshi,Royal Challengers Bengaluru,104,72,3,144.44
A Raghuvanshi,Sunrisers Hyderabad,175,126,4,138.89
A Singh,Chennai Super Kings,1,2,1,50.0
A Singh,Delhi Daredevils,0,1,1,0.0
A Singh,Kolkata Knight Riders,1,4,2,25.0
A Singh,Mumbai Indians,0,2,1,0.0
A Symonds,Chennai Super Kings,131,113,4,115.93
A Symonds,Deccan Chargers,52,52,2,100.0
A Symonds,Delhi Daredevils,170,108,6,157.41
A Symonds,Kings XI Punjab,153,115,6,133.04
A Symonds,Kolkata Knight Riders,100,97,4,103.09
A Symonds,Mumbai Indians,22,24,2,91.67
A Symonds,Pune Warriors,19,18,2,105.56
A Symonds,Rajasthan Royals,201,130,5,154.62
A Symonds,Royal Challengers Bengaluru,125,88,5,142.05
A Tomar,Lucknow Super Giants,4,8,1,50.0
