Batter,ID,season,runs,balls_faced,strike_rate
A Ashish Reddy,548346,2012,10,10,100.0
A Ashish Reddy,548352,2012,3,3,100.0
A Ashish Reddy,548359,2012,8,8,100.0
A Ashish Reddy,548373,2012,10,4,250.0
A Ashish Reddy,548376,2012,4,4,100.0
A Ashish Reddy,598000,2013,7,4,175.0
A Ashish Reddy,598004,2013,14,12,116.67
A Ashish Reddy,598010,2013,16,9,177.78
A Ashish Reddy,598013,2013,4,5,80.0
A Ashish Reddy,598018,2013,19,15,126.67
A Ashish Reddy,598021,2013,7,7,100.0
A Ashish Reddy,598030,2013,36,16,225.0
A Ashish Reddy,598032,2013,14,11,127.27
A Ashish Reddy,598044,2013,5,6,83.33
A Ashish Reddy,598048,2013,3,4,75.0
A Ashish Reddy,829727,2015,13,9,144.44
A Ashish Reddy,829731,2015,15,8,187.5
A Ashish Reddy,829759,2015,22,8,275.0
A Ashish Reddy,829773,2015,6,6,100.0
A Ashish Reddy,829815,2015,17,15,113.33
A Ashish Reddy,980907,2016,32,18,177.78
A Ashish Reddy,980915,2016,13,8,162.5
A Ashish Reddy,980953,2016,2,3,66.67
A Badoni,1304050,2022,54,41,131.71
A Badoni,1304053,2022,19,9,211.11
A Badoni,1304058,2022,19,12,158.33
A Badoni,1304061,2022,10,3,333.33
A Badoni,1304066,2022,5,7,71.43
A Badoni,1304077,2022,13,13,100.0
A Badoni,1304083,2022,14,11,127.27
A Badoni,1304088,2022,4,4,100.0
A Badoni,1304099,2022,15,18,83.33
A Badoni,1304103,2022,8,11,72.73
A Badoni,1304109,2022,0,1,0.0
A Badoni,1359477,2023,18,7,257.14
A Badoni,1359480,2023,23,18,127.78
A Badoni,1359489,2023,30,24,125.0
A Badoni,1359495,2023,5,6,83.33
A Badoni,1359500,2023,1,4,25.0
A Badoni,1359504,2023,8,6,133.33
A Badoni,1359512,2023,42,23,182.61
A Badoni,1359517,2023,4,11,36.36
A Badoni,1359519,2023,59,33,178.79
A Badoni,1359525,2023,21,11,190.91
A Badoni,1359542,2023,25,21,119.05
A Badoni,1370351,2023,1,7,14.29
A Badoni,1422122,2024,1,5,20.0
A Badoni,1422129,2024,8,10,80.0
A Badoni,1422133,2024,0,3,0.0
A Badoni,1422139,2024,20,11,181.82
A Badoni,1426264,2024,55,35,157.14
