Bowler,balls_bowled,dot_balls,dot_pct
A Ashish Reddy,262,83,31.68
A Badoni,41,9,21.95
A Chandila,234,105,44.87
A Choudhary,101,42,41.58
A Dananjaya,24,6,25.0
A Flintoff,66,21,31.82
A Kamboj,491,193,39.31
A Kumble,965,397,41.14
A Mishra,3371,1220,36.19
A Mithun,288,95,32.99
A Nehra,1908,828,43.4
A Nel,18,7,38.89
A Nortje,1120,453,40.45
A Singh,473,200,42.28
A Symonds,527,206,39.09
A Uniyal,36,9,25.0
A Zampa,467,143,30.62
AA Chavan,248,110,44.35
AA Jhunjhunwala,85,28,32.94
AA Kazi,12,2,16.67
AA Noffke,24,7,29.17
AB Agarkar,782,273,34.91
AB Dinda,1516,648,42.74
AB McDonald,186,52,27.96
AC Gilchrist,1,1,100.0
AC Thomas,315,133,42.22
AC Voges,54,15,27.78
AD Mascarenhas,308,130,42.21
AD Mathews,791,237,29.96
AD Russell,1806,645,35.71
AF Milne,227,80,35.24
AG Murtaza,264,106,40.15
AJ Finch,43,13,30.23
AJ Hosein,172,64,37.21
AJ Tye,685,225,32.85
AK Markram,223,56,25.11
AL Menaria,110,40,36.36
AM Ghazanfar,233,70,30.04
AM Nayar,229,70,30.57
AM Rahane,6,2,33.33
AM Salvi,150,61,40.67
AN Ahmed,344,131,38.08
AP Dole,66,21,31.82
AR Patel,3585,1216,33.92
AS Joseph,434,172,39.63
AS Rajpoot,530,214,40.38
AS Raut,30,7,23.33
AS Roy,323,109,33.75
AU Rashid,60,20,33.33
AUK Pathan,39,9,23.08
Abdul Samad,57,12,21.05
Abdur Razzak,12,5,41.67
Abhinandan Singh,58,15,25.86
Abhishek Sharma,365,104,28.49
Akash Deep,278,92,33.09
Akash Madhwal,352,112,31.82
Akash Singh,247,91,36.84
Aman Hakim Khan,6,1,16.67
Anand Rajan,149,62,41.61
Ankit Sharma,367,139,37.87
Ankit Soni,109,38,34.86
Anureet Singh,412,152,36.89
Arjun Tendulkar,97,39,40.21
Arshad Khan,364,139,38.19
Arshad Khan (2),12,5,41.67
Arshdeep Singh,2032,748,36.81
Ashok Sharma,126,53,42.06
