Bowler,Kind,count
A Ashish Reddy,bowled,6
A Ashish Reddy,caught,8
A Ashish Reddy,caught and bowled,1
A Ashish Reddy,lbw,3
A Badoni,bowled,2
A Badoni,caught,1
A Badoni,caught and bowled,1
A Chandila,caught,4
A Chandila,caught and bowled,5
A Chandila,stumped,2
A Choudhary,caught,5
A Flintoff,caught,1
A Flintoff,caught and bowled,1
A Kamboj,bowled,9
A Kamboj,caught,21
A Kamboj,lbw,1
A Kumble,bowled,8
A Kumble,caught,24
A Kumble,caught and bowled,1
A Kumble,lbw,4
A Kumble,stumped,8
A Mishra,bowled,26
A Mishra,caught,102
A Mishra,caught and bowled,4
A Mishra,lbw,14
A Mishra,stumped,28
A Mithun,bowled,2
A Mithun,caught,5
A Nehra,bowled,23
A Nehra,caught,76
A Nehra,caught and bowled,2
A Nehra,lbw,5
A Nel,caught,1
A Nortje,bowled,16
A Nortje,caught,42
A Nortje,caught and bowled,1
A Nortje,lbw,2
A Singh,bowled,6
A Singh,caught,21
A Singh,lbw,1
A Symonds,bowled,2
A Symonds,caught,13
A Symonds,caught and bowled,1
A Symonds,lbw,2
A Symonds,stumped,2
A Uniyal,caught,1
A Uniyal,lbw,1
A Zampa,bowled,2
A Zampa,caught,24
A Zampa,lbw,3
A Zampa,stumped,2
AA Chavan,bowled,1
AA Chavan,caught,5
AA Chavan,lbw,2
AA Jhunjhunwala,bowled,1
AA Noffke,caught,1
AB Agarkar,bowled,5
AB Agarkar,caught,23
AB Agarkar,caught and bowled,1
AB Dinda,bowled,14
AB Dinda,caught,52
AB Dinda,lbw,3
AB McDonald,bowled,6
AB McDonald,caught,5
AC Gilchrist,caught,1
AC Thomas,bowled,1
AC Thomas,caught,13
AD Mascarenhas,bowled,3
AD Mascarenhas,caught,14
AD Mascarenhas,caught and bowled,1
AD Mascarenhas,lbw,1
AD Mathews,bowled,6
AD Mathews,caught,20
AD Mathews,lbw,1
AD Russell,bowled,12
AD Russell,caught,101
AD Russell,caught and bowled,5
AD Russell,hit wicket,2
AD Russell,lbw,3
AF Milne,bowled,1
AF Milne,caught,6
AG Murtaza,bowled,1
AG Murtaza,caught,6
AG Murtaza,lbw,2
AJ Finch,caught,1
AJ Hosein,bowled,2
AJ Hosein,caught,7
AJ Tye,bowled,5
AJ Tye,caught,35
AJ Tye,caught and bowled,1
AJ Tye,lbw,1
AK Markram,bowled,1
AK Markram,caught,2
AK Markram,caught and bowled,1
AK Markram,lbw,1
AK Markram,stumped,1
AL Menaria,caught,1
AL Menaria,caught and bowled,1
AL Menaria,stumped,1
AM Ghazanfar,bowled,3
AM Ghazanfar,caught,9
AM Ghazanfar,lbw,2
AM Ghazanfar,stumped,1
AM Nayar,bowled,1
AM Nayar,caught,8
AM Rahane,bowled,1
AM Salvi,caught,6
AM Salvi,lbw,1
AN Ahmed,bowled,3
AN Ahmed,caught,8
AN Ahmed,lbw,1
AP Dole,bowled,2
AP Dole,caught,3
AR Patel,bowled,39
AR Patel,caught,73
AR Patel,caught and bowled,6
AR Patel,hit wicket,1
AR Patel,lbw,8
AR Patel,stumped,12
AS Joseph,bowled,6
AS Joseph,caught,14
AS Joseph,caught and bowled,1
AS Rajpoot,bowled,3
AS Rajpoot,caught,18
AS Rajpoot,caught and bowled,1
AS Rajpoot,lbw,2
AS Roy,bowled,2
AS Roy,caught,9
AS Roy,caught and bowled,2
AS Roy,lbw,1
AS Roy,stumped,1
AU Rashid,lbw,2
Abdul Samad,caught,2
Abhinandan Singh,caught,3
Abhishek Sharma,bowled,1
Abhishek Sharma,caught,6
Abhishek Sharma,lbw,2
Abhishek Sharma,stumped,2
Akash Deep,bowled,1
Akash Deep,caught,7
Akash Deep,caught and bowled,1
Akash Deep,lbw,1
Akash Madhwal,bowled,7
Akash Madhwal,caught,12
Akash Madhwal,lbw,4
Akash Singh,bowled,3
Akash Singh,caught,10
Anand Rajan,bowled,1
Anand Rajan,caught,6
Anand Rajan,lbw,1
Ankit Sharma,bowled,2
Ankit Sharma,caught,8
Ankit Sharma,lbw,2
Ankit Soni,caught,1
Ankit Soni,lbw,1
Anureet Singh,bowled,6
Anureet Singh,caught,12
Arjun Tendulkar,caught,2
Arjun Tendulkar,lbw,2
Arshad Khan,bowled,1
Arshad Khan,caught,16
Arshad Khan,caught and bowled,1
Arshdeep Singh,bowled,16
Arshdeep Singh,caught,87
Arshdeep Singh,caught and bowled,4
Arshdeep Singh,lbw,4
Ashok Sharma,caught,6
Ashwani Kumar,bowled,2
Ashwani Kumar,caught,14
Ashwani Kumar,lbw,1
Avesh Khan,bowled,17
Avesh Khan,caught,69
Avesh Khan,caught and bowled,2
Avesh Khan,lbw,5
Azhar Mahmood,bowled,3
Azhar Mahmood,caught,21
Azhar Mahmood,caught and bowled,1
Azhar Mahmood,lbw,4
Azmatullah Omarzai,bowled,1
Azmatullah Omarzai,caught,12
Azmatullah Omarzai,caught and bowled,1
Azmatullah Omarzai,lbw,1
B Akhil,bowled,1
B Akhil,caught,4
B Akhil,stumped,1
B Geeves,caught,1
B Kumar,bowled,46
B Kumar,caught,159
B Kumar,caught and bowled,6
B Kumar,lbw,13
B Kumar,stumped,2
B Laughlin,bowled,1
B Laughlin,caught,9
B Lee,bowled,6
B Lee,caught,17
B Lee,caught and bowled,2
B Muzarabani,caught,4
B Stanlake,bowled,1
B Stanlake,caught,6
BA Bhatt,bowled,1
BA Bhatt,caught,8
BA Bhatt,caught and bowled,1
BA Bhatt,lbw,2
BA Stokes,bowled,7
BA Stokes,caught,21
BAW Mendis,caught,6
BAW Mendis,caught and bowled,1
BAW Mendis,lbw,1
BB Sran,bowled,2
BB Sran,caught,16
BCJ Cutting,bowled,3
BCJ Cutting,caught,7
BE Hendricks,bowled,1
BE Hendricks,caught,8
BJ Dwarshuis,caught,1
BJ Hodge,bowled,4
BJ Hodge,caught,13
BMAJ Mendis,stumped,1
BW Hilfenhaus,bowled,5
BW Hilfenhaus,caught,16
BW Hilfenhaus,lbw,1
Basil Thampi,bowled,4
Basil Thampi,caught,13
Basil Thampi,caught and bowled,1
Basil Thampi,lbw,4
Bipul Sharma,bowled,2
Bipul Sharma,caught,13
Bipul Sharma,lbw,1
Bipul Sharma,stumped,1
Brijesh Sharma,bowled,2
Brijesh Sharma,caught,7
Brijesh Sharma,hit wicket,1
Brijesh Sharma,lbw,4
C Bosch,bowled,2
C Bosch,caught,10
C Bosch,lbw,1
C Green,bowled,1
C Green,caught,22
C Nanda,caught,2
C Sakariya,bowled,2
C Sakariya,caught,18
C de Grandhomme,caught,5
C de Grandhomme,lbw,1
CH Gayle,bowled,5
CH Gayle,caught,8
CH Gayle,lbw,2
CH Gayle,stumped,3
CH Morris,bowled,22
CH Morris,caught,66
CH Morris,caught and bowled,2
CH Morris,lbw,6
CJ Anderson,caught,10
CJ Anderson,lbw,1
CJ Jordan,bowled,6
CJ Jordan,caught,23
CJ Jordan,caught and bowled,1
