Bowler,season,Phase,runs_conceded,balls_bowled,overs,economy
A Ashish Reddy,2012,Death,89,55,9.166666666666666,9.71
A Ashish Reddy,2012,Middle,118,102,17.0,6.94
A Ashish Reddy,2012,Powerplay,20,6,1.0,20.0
A Ashish Reddy,2013,Death,24,10,1.6666666666666665,14.4
A Ashish Reddy,2013,Middle,45,30,5.0,9.0
A Ashish Reddy,2015,Death,3,6,1.0,3.0
A Ashish Reddy,2015,Middle,46,30,5.0,9.2
A Ashish Reddy,2016,Middle,39,23,3.8333333333333335,10.17
A Badoni,2022,Middle,11,12,2.0,5.5
A Badoni,2023,Powerplay,0,1,0.16666666666666666,0.0
A Badoni,2024,Middle,25,12,2.0,12.5
A Badoni,2025,Death,13,10,1.6666666666666665,7.8
A Badoni,2026,Middle,14,6,1.0,14.0
A Chandila,2012,Middle,45,42,7.0,6.43
A Chandila,2012,Powerplay,41,42,7.0,5.86
A Chandila,2013,Death,6,6,1.0,6.0
A Chandila,2013,Middle,54,42,7.0,7.71
A Chandila,2013,Powerplay,96,102,17.0,5.65
A Choudhary,2017,Death,37,24,4.0,9.25
A Choudhary,2017,Middle,55,41,6.833333333333333,8.05
A Choudhary,2017,Powerplay,45,36,6.0,7.5
A Dananjaya,2018,Middle,34,18,3.0,11.33
A Dananjaya,2018,Powerplay,12,6,1.0,12.0
A Flintoff,2009,Death,52,18,3.0,17.33
A Flintoff,2009,Middle,32,36,6.0,5.33
A Flintoff,2009,Powerplay,21,12,2.0,10.5
A Kamboj,2024,Middle,49,30,5.0,9.8
A Kamboj,2024,Powerplay,53,30,5.0,10.6
A Kamboj,2025,Death,3,3,0.5,6.0
A Kamboj,2025,Powerplay,168,126,21.0,8.0
A Kamboj,2026,Death,213,122,20.333333333333332,10.48
A Kamboj,2026,Middle,88,54,9.0,9.78
A Kamboj,2026,Powerplay,212,126,21.0,10.1
A Kumble,2008,Death,39,14,2.3333333333333335,16.71
A Kumble,2008,Middle,240,192,32.0,7.5
A Kumble,2008,Powerplay,15,24,4.0,3.75
A Kumble,2009,Death,58,54,9.0,6.44
A Kumble,2009,Middle,259,265,44.166666666666664,5.86
A Kumble,2009,Powerplay,23,36,6.0,3.83
A Kumble,2010,Death,39,38,6.333333333333333,6.16
A Kumble,2010,Middle,301,294,49.0,6.14
A Kumble,2010,Powerplay,45,48,8.0,5.62
A Mishra,2008,Death,2,6,1.0,2.0
A Mishra,2008,Middle,111,101,16.833333333333332,6.59
A Mishra,2008,Powerplay,21,12,2.0,10.5
A Mishra,2009,Death,37,18,3.0,12.33
A Mishra,2009,Middle,231,223,37.166666666666664,6.22
A Mishra,2009,Powerplay,15,12,2.0,7.5
A Mishra,2010,Death,56,42,7.0,8.0
A Mishra,2010,Middle,234,198,33.0,7.09
A Mishra,2010,Powerplay,57,78,13.0,4.38
A Mishra,2011,Death,53,44,7.333333333333333,7.23
A Mishra,2011,Middle,286,264,44.0,6.5
A Mishra,2011,Powerplay,15,12,2.0,7.5
A Mishra,2012,Death,42,24,4.0,10.5
A Mishra,2012,Middle,322,258,43.0,7.49
A Mishra,2013,Death,35,30,5.0,7.0
A Mishra,2013,Middle,336,336,56.0,6.0
A Mishra,2013,Powerplay,12,6,1.0,12.0
A Mishra,2014,Death,71,27,4.5,15.78
A Mishra,2014,Middle,263,198,33.0,7.97
A Mishra,2015,Death,41,25,4.166666666666667,9.84
A Mishra,2015,Middle,260,216,36.0,7.22
A Mishra,2016,Death,37,24,4.0,9.25
A Mishra,2016,Middle,294,252,42.0,7.0
A Mishra,2017,Death,9,5,0.8333333333333334,10.8
A Mishra,2017,Middle,330,228,38.0,8.68
A Mishra,2018,Middle,227,210,35.0,6.49
A Mishra,2018,Powerplay,32,12,2.0,16.0
A Mishra,2019,Death,23,12,2.0,11.5
A Mishra,2019,Middle,244,228,38.0,6.42
A Mishra,2020,Middle,70,60,10.0,7.0
A Mishra,2021,Death,16,12,2.0,8.0
A Mishra,2021,Middle,83,66,11.0,7.55
A Mishra,2021,Powerplay,10,6,1.0,10.0
A Mishra,2023,Death,24,18,3.0,8.0
A Mishra,2023,Middle,124,96,16.0,7.75
A Mishra,2024,Middle,20,12,2.0,10.0
A Mithun,2009,Death,13,6,1.0,13.0
A Mithun,2009,Middle,15,12,2.0,7.5
A Mithun,2009,Powerplay,11,6,1.0,11.0
A Mithun,2010,Death,19,6,1.0,19.0
A Mithun,2010,Middle,6,6,1.0,6.0
A Mithun,2010,Powerplay,12,6,1.0,12.0
A Mithun,2011,Death,85,54,9.0,9.44
A Mithun,2011,Middle,169,120,20.0,8.45
A Mithun,2011,Powerplay,37,30,5.0,7.4
A Mithun,2012,Death,16,6,1.0,16.0
A Mithun,2012,Powerplay,16,12,2.0,8.0
A Mithun,2013,Death,14,6,1.0,14.0
A Mithun,2013,Middle,6,6,1.0,6.0
A Mithun,2013,Powerplay,16,12,2.0,8.0
A Nehra,2008,Death,76,47,7.833333333333333,9.7
A Nehra,2008,Middle,53,54,9.0,5.89
A Nehra,2008,Powerplay,203,168,28.0,7.25
A Nehra,2009,Death,93,84,14.0,6.64
A Nehra,2009,Middle,62,54,9.0,6.89
A Nehra,2009,Powerplay,165,168,28.0,5.89
A Nehra,2010,Death,38,24,4.0,9.5
A Nehra,2010,Middle,4,6,1.0,4.0
A Nehra,2010,Powerplay,53,54,9.0,5.89
A Nehra,2012,Death,105,60,10.0,10.5
A Nehra,2012,Middle,128,114,19.0,6.74
A Nehra,2012,Powerplay,159,114,19.0,8.37
A Nehra,2013,Death,78,42,7.0,11.14
A Nehra,2013,Middle,73,54,9.0,8.11
A Nehra,2013,Powerplay,156,120,20.0,7.8
A Nehra,2014,Death,42,30,5.0,8.4
A Nehra,2014,Middle,32,12,2.0,16.0
A Nehra,2014,Powerplay,65,48,8.0,8.12
A Nehra,2015,Death,104,84,14.0,7.43
A Nehra,2015,Middle,45,36,6.0,7.5
A Nehra,2015,Powerplay,287,252,42.0,6.83
A Nehra,2016,Death,26,18,3.0,8.67
A Nehra,2016,Middle,35,30,5.0,7.0
A Nehra,2016,Powerplay,131,108,18.0,7.28
A Nehra,2017,Death,31,30,5.0,6.2
A Nehra,2017,Middle,63,36,6.0,10.5
A Nehra,2017,Powerplay,98,61,10.166666666666666,9.64
A Nel,2008,Death,8,6,1.0,8.0
A Nel,2008,Middle,11,6,1.0,11.0
A Nel,2008,Powerplay,12,6,1.0,12.0
A Nortje,2020,Death,159,118,19.666666666666668,8.08
A Nortje,2020,Middle,133,86,14.333333333333334,9.28
A Nortje,2020,Powerplay,210,162,27.0,7.78
A Nortje,2021,Death,52,50,8.333333333333334,6.24
A Nortje,2021,Middle,55,48,8.0,6.88
A Nortje,2021,Powerplay,67,84,14.0,4.79
A Nortje,2022,Death,42,30,5.0,8.4
A Nortje,2022,Middle,69,44,7.333333333333333,9.41
A Nortje,2022,Powerplay,89,60,10.0,8.9
A Nortje,2023,Death,163,96,16.0,10.19
A Nortje,2023,Middle,72,60,10.0,7.2
A Nortje,2023,Powerplay,112,84,14.0,8.0
A Nortje,2024,Death,137,42,7.0,19.57
A Nortje,2024,Middle,74,54,9.0,8.22
A Nortje,2024,Powerplay,69,36,6.0,11.5
A Nortje,2025,Death,17,6,1.0,17.0
A Nortje,2025,Middle,26,18,3.0,8.67
A Nortje,2025,Powerplay,33,18,3.0,11.0
A Nortje,2026,Death,8,6,1.0,8.0
A Nortje,2026,Middle,24,18,3.0,8.0
A Singh,2009,Death,40,33,5.5,7.27
A Singh,2009,Middle,2,6,1.0,2.0
A Singh,2009,Powerplay,50,66,11.0,4.55
A Singh,2011,Death,58,45,7.5,7.73
A Singh,2011,Middle,51,36,6.0,8.5
A Singh,2011,Powerplay,102,90,15.0,6.8
A Singh,2012,Death,154,71,11.833333333333334,13.01
A Singh,2012,Middle,19,18,3.0,6.33
A Singh,2012,Powerplay,126,108,18.0,7.0
A Symonds,2008,Death,19,5,0.8333333333333334,22.8
A Symonds,2008,Middle,75,36,6.0,12.5
A Symonds,2009,Death,19,12,2.0,9.5
A Symonds,2009,Middle,112,90,15.0,7.47
A Symonds,2009,Powerplay,25,42,7.0,3.57
A Symonds,2010,Death,63,36,6.0,10.5
A Symonds,2010,Middle,226,210,35.0,6.46
A Symonds,2010,Powerplay,76,72,12.0,6.33
A Symonds,2011,Middle,41,24,4.0,10.25
A Uniyal,2010,Death,25,18,3.0,8.33
A Uniyal,2010,Middle,18,6,1.0,18.0
A Uniyal,2010,Powerplay,21,12,2.0,10.5
A Zampa,2016,Death,33,24,4.0,8.25
A Zampa,2016,Middle,74,72,12.0,6.17
A Zampa,2016,Powerplay,3,6,1.0,3.0
A Zampa,2017,Death,22,6,1.0,22.0
A Zampa,2017,Middle,138,113,18.833333333333332,7.33
A Zampa,2020,Death,27,6,1.0,27.0
A Zampa,2020,Middle,64,60,10.0,6.4
A Zampa,2023,Death,34,18,3.0,11.33
A Zampa,2023,Middle,113,78,13.0,8.69
A Zampa,2023,Powerplay,39,36,6.0,6.5
A Zampa,2025,Death,21,6,1.0,21.0
A Zampa,2025,Middle,71,42,7.0,10.14
AA Chavan,2011,Middle,5,6,1.0,5.0
AA Chavan,2011,Powerplay,22,24,4.0,5.5
AA Chavan,2012,Death,22,8,1.3333333333333333,16.5
AA Chavan,2012,Middle,131,84,14.0,9.36
AA Chavan,2012,Powerplay,77,72,12.0,6.42
AA Chavan,2013,Middle,10,6,1.0,10.0
AA Chavan,2013,Powerplay,51,48,8.0,6.38
AA Jhunjhunwala,2010,Death,2,1,0.16666666666666666,12.0
AA Jhunjhunwala,2010,Middle,45,24,4.0,11.25
AA Jhunjhunwala,2010,Powerplay,20,12,2.0,10.0
AA Jhunjhunwala,2011,Middle,21,12,2.0,10.5
AA Jhunjhunwala,2012,Middle,13,18,3.0,4.33
AA Jhunjhunwala,2012,Powerplay,25,18,3.0,8.33
AA Kazi,2011,Middle,20,12,2.0,10.0
AA Noffke,2008,Death,7,6,1.0,7.0
AA Noffke,2008,Middle,11,12,2.0,5.5
