Bowler,season,balls_bowled,runs_conceded,overs,economy,wickets,bowling_avg
A Ashish Reddy,2012,163,227,27.166666666666668,8.36,11,20.64
A Ashish Reddy,2013,40,69,6.666666666666667,10.35,3,23.0
A Ashish Reddy,2015,36,49,6.0,8.17,3,16.33
A Ashish Reddy,2016,23,39,3.8333333333333335,10.17,1,39.0
A Badoni,2022,12,11,2.0,5.5,2,5.5
A Badoni,2023,1,0,0.16666666666666666,0.0,0,
A Badoni,2024,12,25,2.0,12.5,0,
A Badoni,2025,10,13,1.6666666666666665,7.8,2,6.5
A Badoni,2026,6,14,1.0,14.0,0,
A Chandila,2012,84,86,14.0,6.14,5,17.2
A Chandila,2013,150,156,25.0,6.24,6,26.0
A Choudhary,2017,101,137,16.833333333333332,8.14,5,27.4
A Dananjaya,2018,24,46,4.0,11.5,0,
A Flintoff,2009,66,105,11.0,9.55,2,52.5
A Kamboj,2024,60,102,10.0,10.2,2,51.0
A Kamboj,2025,129,171,21.5,7.95,8,21.38
A Kamboj,2026,302,513,50.333333333333336,10.19,21,24.43
A Kumble,2008,230,294,38.333333333333336,7.67,7,42.0
A Kumble,2009,355,340,59.166666666666664,5.75,21,16.19
A Kumble,2010,380,385,63.333333333333336,6.08,17,22.65
A Mishra,2008,119,134,19.833333333333332,6.76,11,12.18
A Mishra,2009,253,283,42.166666666666664,6.71,14,20.21
A Mishra,2010,318,347,53.0,6.55,17,20.41
A Mishra,2011,320,354,53.333333333333336,6.64,19,18.63
A Mishra,2012,282,364,47.0,7.74,13,28.0
A Mishra,2013,372,383,62.0,6.18,21,18.24
A Mishra,2014,225,334,37.5,8.91,7,47.71
A Mishra,2015,241,301,40.166666666666664,7.49,9,33.44
A Mishra,2016,276,331,46.0,7.2,13,25.46
A Mishra,2017,233,339,38.833333333333336,8.73,10,33.9
A Mishra,2018,222,259,37.0,7.0,12,21.58
A Mishra,2019,240,267,40.0,6.68,11,24.27
A Mishra,2020,60,70,10.0,7.0,3,23.33
A Mishra,2021,84,109,14.0,7.79,6,18.17
A Mishra,2023,114,148,19.0,7.79,7,21.14
A Mishra,2024,12,20,2.0,10.0,1,20.0
A Mithun,2009,24,39,4.0,9.75,0,
A Mithun,2010,18,37,3.0,12.33,1,37.0
A Mithun,2011,204,291,34.0,8.56,5,58.2
A Mithun,2012,18,32,3.0,10.67,0,
A Mithun,2013,24,36,4.0,9.0,1,36.0
A Nehra,2008,269,332,44.833333333333336,7.41,12,27.67
A Nehra,2009,306,320,51.0,6.27,19,16.84
A Nehra,2010,84,95,14.0,6.79,6,15.83
A Nehra,2012,288,392,48.0,8.17,11,35.64
A Nehra,2013,216,307,36.0,8.53,11,27.91
A Nehra,2014,90,139,15.0,9.27,8,17.38
A Nehra,2015,372,436,62.0,7.03,22,19.82
A Nehra,2016,156,192,26.0,7.38,9,21.33
A Nehra,2017,127,192,21.166666666666668,9.07,8,24.0
A Nel,2008,18,31,3.0,10.33,1,31.0
A Nortje,2020,366,502,61.0,8.23,22,22.82
A Nortje,2021,182,174,30.333333333333332,5.74,12,14.5
A Nortje,2022,134,200,22.333333333333332,8.96,9,22.22
A Nortje,2023,240,347,40.0,8.68,10,34.7
A Nortje,2024,132,280,22.0,12.73,7,40.0
A Nortje,2025,42,76,7.0,10.86,1,76.0
A Nortje,2026,24,32,4.0,8.0,0,
A Singh,2009,105,92,17.5,5.26,9,10.22
A Singh,2011,171,211,28.5,7.4,9,23.44
A Singh,2012,197,299,32.833333333333336,9.11,10,29.9
A Symonds,2008,41,94,6.833333333333333,13.76,0,
A Symonds,2009,144,156,24.0,6.5,7,22.29
A Symonds,2010,318,365,53.0,6.89,12,30.42
A Symonds,2011,24,41,4.0,10.25,1,41.0
A Uniyal,2010,36,64,6.0,10.67,2,32.0
A Zampa,2016,102,110,17.0,6.47,12,9.17
A Zampa,2017,119,160,19.833333333333332,8.07,7,22.86
A Zampa,2020,66,91,11.0,8.27,2,45.5
A Zampa,2023,132,186,22.0,8.45,8,23.25
A Zampa,2025,48,92,8.0,11.5,2,46.0
AA Chavan,2011,30,27,5.0,5.4,0,
AA Chavan,2012,164,230,27.333333333333332,8.41,7,32.86
AA Chavan,2013,54,61,9.0,6.78,1,61.0
AA Jhunjhunwala,2010,37,67,6.166666666666667,10.86,0,
AA Jhunjhunwala,2011,12,21,2.0,10.5,0,
AA Jhunjhunwala,2012,36,38,6.0,6.33,1,38.0
AA Kazi,2011,12,20,2.0,10.0,0,
AA Noffke,2008,24,35,4.0,8.75,1,35.0
AB Agarkar,2008,156,195,26.0,7.5,8,24.38
AB Agarkar,2009,186,270,31.0,8.71,6,45.0
AB Agarkar,2010,132,193,22.0,8.77,4,48.25
AB Agarkar,2011,162,229,27.0,8.48,8,28.62
AB Agarkar,2012,86,130,14.333333333333334,9.07,3,43.33
AB Agarkar,2013,60,89,10.0,8.9,0,
AB Dinda,2008,234,245,39.0,6.28,9,27.22
AB Dinda,2009,144,187,24.0,7.79,4,46.75
AB Dinda,2010,139,147,23.166666666666668,6.35,9,16.33
AB Dinda,2011,102,142,17.0,8.35,5,28.4
AB Dinda,2012,144,156,24.0,6.5,9,17.33
AB Dinda,2013,294,448,49.0,9.14,16,28.0
AB Dinda,2014,186,250,31.0,8.06,5,50.0
AB Dinda,2015,30,54,5.0,10.8,0,
AB Dinda,2016,183,218,30.5,7.15,11,19.82
AB Dinda,2017,60,114,10.0,11.4,1,114.0
AB McDonald,2009,18,22,3.0,7.33,0,
AB McDonald,2010,84,137,14.0,9.79,5,27.4
AB McDonald,2011,12,23,2.0,11.5,0,
AB McDonald,2012,60,60,10.0,6.0,5,12.0
AB McDonald,2013,12,17,2.0,8.5,1,17.0
AC Gilchrist,2013,1,0,0.16666666666666666,0.0,1,0.0
AC Thomas,2011,231,287,38.5,7.45,11,26.09
AC Thomas,2012,84,105,14.0,7.5,3,35.0
AC Voges,2010,54,74,9.0,8.22,0,
AD Mascarenhas,2008,24,27,4.0,6.75,2,13.5
AD Mascarenhas,2009,116,132,19.333333333333332,6.83,6,22.0
AD Mascarenhas,2010,48,65,8.0,8.12,4,16.25
AD Mascarenhas,2012,96,104,16.0,6.5,7,14.86
AD Mascarenhas,2013,24,25,4.0,6.25,0,
AD Mathews,2009,14,30,2.3333333333333335,12.86,0,
AD Mathews,2010,225,309,37.5,8.24,8,38.62
AD Mathews,2012,156,189,26.0,7.27,7,27.0
AD Mathews,2013,186,230,31.0,7.42,5,46.0
AD Mathews,2015,180,241,30.0,8.03,7,34.43
AD Mathews,2017,30,55,5.0,11.0,0,
AD Russell,2012,96,159,16.0,9.94,1,159.0
AD Russell,2013,42,66,7.0,9.43,0,
AD Russell,2014,30,50,5.0,10.0,1,50.0
AD Russell,2015,244,312,40.666666666666664,7.67,14,22.29
AD Russell,2016,219,282,36.5,7.73,15,18.8
AD Russell,2018,227,343,37.833333333333336,9.07,13,26.38
AD Russell,2019,181,286,30.166666666666668,9.48,11,26.0
AD Russell,2020,108,164,18.0,9.11,6,27.33
AD Russell,2021,114,180,19.0,9.47,11,16.36
AD Russell,2022,169,266,28.166666666666668,9.44,17,15.65
AD Russell,2023,91,155,15.166666666666666,10.22,7,22.14
AD Russell,2024,176,283,29.333333333333332,9.65,19,14.89
AD Russell,2025,109,210,18.166666666666668,11.56,8,26.25
AF Milne,2016,24,38,4.0,9.5,1,38.0
AF Milne,2017,84,128,14.0,9.14,3,42.67
