Bowler,Opponent,runs_conceded,balls_bowled,overs,economy,wickets
A Ashish Reddy,Chennai Super Kings,47,28,4.666666666666667,10.07,2
A Ashish Reddy,Delhi Daredevils,43,24,4.0,10.75,1
A Ashish Reddy,Kings XI Punjab,36,24,4.0,9.0,2
A Ashish Reddy,Kolkata Knight Riders,29,24,4.0,7.25,2
A Ashish Reddy,Mumbai Indians,10,13,2.1666666666666665,4.62,1
A Ashish Reddy,Pune Warriors,83,54,9.0,9.22,4
A Ashish Reddy,Rajasthan Royals,22,18,3.0,7.33,0
A Ashish Reddy,Royal Challengers Bengaluru,114,77,12.833333333333334,8.88,6
A Badoni,Gujarat Titans,4,6,1.0,4.0,2
A Badoni,Mumbai Indians,6,6,1.0,6.0,1
A Badoni,Punjab Kings,14,7,1.1666666666666667,12.0,0
A Badoni,Rajasthan Royals,11,12,2.0,5.5,1
A Badoni,Royal Challengers Bengaluru,9,4,0.6666666666666666,13.5,0
A Badoni,Sunrisers Hyderabad,19,6,1.0,19.0,0
A Chandila,Chennai Super Kings,16,18,3.0,5.33,1
A Chandila,Deccan Chargers,20,24,4.0,5.0,1
A Chandila,Kings XI Punjab,38,42,7.0,5.43,1
A Chandila,Mumbai Indians,30,24,4.0,7.5,2
A Chandila,Pune Warriors,36,36,6.0,6.0,4
A Chandila,Royal Challengers Bengaluru,89,72,12.0,7.42,0
A Chandila,Sunrisers Hyderabad,13,18,3.0,4.33,2
A Choudhary,Gujarat Lions,19,12,2.0,9.5,0
A Choudhary,Kings XI Punjab,17,24,4.0,4.25,2
A Choudhary,Kolkata Knight Riders,19,17,2.8333333333333335,6.71,1
A Choudhary,Mumbai Indians,31,24,4.0,7.75,1
A Choudhary,Sunrisers Hyderabad,51,24,4.0,12.75,1
A Dananjaya,Delhi Daredevils,46,24,4.0,11.5,0
A Flintoff,Delhi Daredevils,50,24,4.0,12.5,0
A Flintoff,Mumbai Indians,44,24,4.0,11.0,1
A Flintoff,Royal Challengers Bengaluru,11,18,3.0,3.67,1
A Kamboj,Delhi Capitals,83,48,8.0,10.38,3
A Kamboj,Gujarat Titans,84,57,9.5,8.84,4
A Kamboj,Kolkata Knight Riders,109,72,12.0,9.08,5
A Kamboj,Lucknow Super Giants,168,76,12.666666666666666,13.26,3
A Kamboj,Mumbai Indians,40,42,7.0,5.71,4
A Kamboj,Punjab Kings,61,34,5.666666666666667,10.76,2
A Kamboj,Rajasthan Royals,48,36,6.0,8.0,3
A Kamboj,Royal Challengers Bengaluru,75,42,7.0,10.71,1
A Kamboj,Sunrisers Hyderabad,118,84,14.0,8.43,6
A Kumble,Chennai Super Kings,108,144,24.0,4.5,7
A Kumble,Deccan Chargers,230,189,31.5,7.3,13
A Kumble,Delhi Daredevils,125,120,20.0,6.25,5
A Kumble,Kings XI Punjab,183,140,23.333333333333332,7.84,4
A Kumble,Kolkata Knight Riders,96,114,19.0,5.05,4
A Kumble,Mumbai Indians,175,132,22.0,7.95,3
A Kumble,Rajasthan Royals,102,126,21.0,4.86,9
A Mishra,Chennai Super Kings,394,339,56.5,6.97,13
A Mishra,Deccan Chargers,145,132,22.0,6.59,11
A Mishra,Delhi Daredevils,235,174,29.0,8.1,6
A Mishra,Gujarat Lions,96,60,10.0,9.6,2
A Mishra,Gujarat Titans,9,12,2.0,4.5,1
A Mishra,Kings XI Punjab,513,396,66.0,7.77,22
A Mishra,Kochi Tuskers Kerala,12,24,4.0,3.0,1
A Mishra,Kolkata Knight Riders,466,420,70.0,6.66,17
A Mishra,Mumbai Indians,617,504,84.0,7.35,25
A Mishra,Pune Warriors,132,128,21.333333333333332,6.19,10
A Mishra,Punjab Kings,23,12,2.0,11.5,0
A Mishra,Rajasthan Royals,501,444,74.0,6.77,31
A Mishra,Rising Pune Supergiants,70,72,12.0,5.83,4
A Mishra,Royal Challengers Bengaluru,483,366,61.0,7.92,19
A Mishra,Sunrisers Hyderabad,347,288,48.0,7.23,12
A Mithun,Chennai Super Kings,85,54,9.0,9.44,2
A Mithun,Deccan Chargers,32,18,3.0,10.67,0
A Mithun,Delhi Daredevils,69,42,7.0,9.86,3
A Mithun,Kings XI Punjab,50,36,6.0,8.33,0
A Mithun,Kochi Tuskers Kerala,31,24,4.0,7.75,1
A Mithun,Kolkata Knight Riders,48,36,6.0,8.0,1
A Mithun,Mumbai Indians,94,54,9.0,10.44,0
A Mithun,Pune Warriors,26,24,4.0,6.5,0
A Nehra,Chennai Super Kings,243,192,32.0,7.59,11
A Nehra,Deccan Chargers,250,180,30.0,8.33,7
A Nehra,Delhi Daredevils,162,131,21.833333333333332,7.42,8
A Nehra,Gujarat Lions,50,48,8.0,6.25,1
A Nehra,Kings XI Punjab,359,275,45.833333333333336,7.83,16
A Nehra,Kolkata Knight Riders,265,210,35.0,7.57,7
A Nehra,Mumbai Indians,348,252,42.0,8.29,17
A Nehra,Pune Warriors,26,24,4.0,6.5,0
A Nehra,Rajasthan Royals,205,192,32.0,6.41,10
A Nehra,Rising Pune Supergiants,48,49,8.166666666666666,5.88,4
A Nehra,Royal Challengers Bengaluru,376,295,49.166666666666664,7.65,23
A Nehra,Sunrisers Hyderabad,73,60,10.0,7.3,2
A Nel,Delhi Daredevils,31,18,3.0,10.33,1
A Nortje,Chennai Super Kings,249,168,28.0,8.89,10
A Nortje,Delhi Capitals,32,24,4.0,8.0,0
A Nortje,Gujarat Titans,117,66,11.0,10.64,4
A Nortje,Kings XI Punjab,33,24,4.0,8.25,0
A Nortje,Kolkata Knight Riders,175,134,22.333333333333332,7.84,13
A Nortje,Lucknow Super Giants,27,14,2.3333333333333335,11.57,0
A Nortje,Mumbai Indians,273,174,29.0,9.41,9
A Nortje,Punjab Kings,85,66,11.0,7.73,4
A Nortje,Rajasthan Royals,204,144,24.0,8.5,8
A Nortje,Royal Challengers Bengaluru,104,96,16.0,6.5,7
A Nortje,Sunrisers Hyderabad,312,210,35.0,8.91,6
A Singh,Chennai Super Kings,109,66,11.0,9.91,2
A Singh,Deccan Chargers,82,48,8.0,10.25,3
A Singh,Delhi Daredevils,92,72,12.0,7.67,3
A Singh,Kings XI Punjab,34,48,8.0,4.25,4
A Singh,Kochi Tuskers Kerala,25,24,4.0,6.25,1
A Singh,Kolkata Knight Riders,110,90,15.0,7.33,4
A Singh,Mumbai Indians,62,60,10.0,6.2,5
A Singh,Pune Warriors,29,18,3.0,9.67,0
A Singh,Royal Challengers Bengaluru,59,47,7.833333333333333,7.53,6
A Symonds,Chennai Super Kings,69,66,11.0,6.27,4
A Symonds,Delhi Daredevils,123,96,16.0,7.69,5
A Symonds,Kings XI Punjab,77,60,10.0,7.7,3
A Symonds,Kolkata Knight Riders,91,84,14.0,6.5,3
A Symonds,Mumbai Indians,70,48,8.0,8.75,0
A Symonds,Pune Warriors,7,6,1.0,7.0,0
A Symonds,Rajasthan Royals,103,65,10.833333333333334,9.51,0
A Symonds,Royal Challengers Bengaluru,116,102,17.0,6.82,5
A Uniyal,Delhi Daredevils,25,12,2.0,12.5,0
A Uniyal,Mumbai Indians,39,24,4.0,9.75,2
A Zampa,Chennai Super Kings,63,42,7.0,9.0,4
A Zampa,Delhi Daredevils,94,72,12.0,7.83,5
A Zampa,Gujarat Titans,72,42,7.0,10.29,1
A Zampa,Kings XI Punjab,54,47,7.833333333333333,6.89,3
A Zampa,Kolkata Knight Riders,3,6,1.0,3.0,0
A Zampa,Lucknow Super Giants,45,24,4.0,11.25,1
A Zampa,Mumbai Indians,118,72,12.0,9.83,4
A Zampa,Punjab Kings,26,24,4.0,6.5,1
A Zampa,Rajasthan Royals,74,42,7.0,10.57,1
A Zampa,Royal Challengers Bengaluru,60,48,8.0,7.5,4
A Zampa,Sunrisers Hyderabad,30,48,8.0,3.75,7
AA Chavan,Delhi Daredevils,59,48,8.0,7.38,2
AA Chavan,Kings XI Punjab,60,36,6.0,10.0,2
AA Chavan,Kochi Tuskers Kerala,10,6,1.0,10.0,0
AA Chavan,Kolkata Knight Riders,78,62,10.333333333333334,7.55,3
AA Chavan,Mumbai Indians,92,84,14.0,6.57,1
AA Chavan,Pune Warriors,19,12,2.0,9.5,0
AA Jhunjhunwala,Chennai Super Kings,31,30,5.0,6.2,1
AA Jhunjhunwala,Deccan Chargers,14,6,1.0,14.0,0
AA Jhunjhunwala,Delhi Daredevils,12,7,1.1666666666666667,10.29,0
AA Jhunjhunwala,Kings XI Punjab,36,24,4.0,9.0,0
AA Jhunjhunwala,Mumbai Indians,33,18,3.0,11.0,0
AA Kazi,Rajasthan Royals,20,12,2.0,10.0,0
AA Noffke,Kolkata Knight Riders,35,24,4.0,8.75,1
AB Agarkar,Chennai Super Kings,161,114,19.0,8.47,2
AB Agarkar,Deccan Chargers,176,108,18.0,9.78,5
AB Agarkar,Delhi Daredevils,95,72,12.0,7.92,2
AB Agarkar,Kings XI Punjab,171,114,19.0,9.0,5
AB Agarkar,Kochi Tuskers Kerala,41,42,7.0,5.86,2
AB Agarkar,Kolkata Knight Riders,33,24,4.0,8.25,1
AB Agarkar,Mumbai Indians,157,122,20.333333333333332,7.72,5
AB Agarkar,Rajasthan Royals,158,108,18.0,8.78,3
AB Agarkar,Royal Challengers Bengaluru,114,78,13.0,8.77,4
AB Dinda,Chennai Super Kings,183,138,23.0,7.96,4
AB Dinda,Deccan Chargers,106,84,14.0,7.57,6
AB Dinda,Delhi Daredevils,286,216,36.0,7.94,12
AB Dinda,Gujarat Lions,37,24,4.0,9.25,2
AB Dinda,Kings XI Punjab,269,204,34.0,7.91,7
AB Dinda,Kolkata Knight Riders,99,66,11.0,9.0,1
AB Dinda,Mumbai Indians,358,270,45.0,7.96,13
AB Dinda,Pune Warriors,41,24,4.0,10.25,2
AB Dinda,Rajasthan Royals,212,189,31.5,6.73,5
AB Dinda,Royal Challengers Bengaluru,218,169,28.166666666666668,7.74,10
AB Dinda,Sunrisers Hyderabad,152,132,22.0,6.91,7
AB McDonald,Chennai Super Kings,23,12,2.0,11.5,0
