Bowler,ID,season,runs_conceded,balls_bowled,overs,economy
A Ashish Reddy,548329,2012,29,12,2.0,14.5
A Ashish Reddy,548341,2012,32,24,4.0,8.0
A Ashish Reddy,548346,2012,10,13,2.1666666666666665,4.62
A Ashish Reddy,548348,2012,30,18,3.0,10.0
A Ashish Reddy,548352,2012,14,12,2.0,7.0
A Ashish Reddy,548356,2012,35,24,4.0,8.75
A Ashish Reddy,548359,2012,36,24,4.0,9.0
A Ashish Reddy,548373,2012,17,12,2.0,8.5
A Ashish Reddy,548376,2012,24,24,4.0,6.0
A Ashish Reddy,598000,2013,21,12,2.0,10.5
A Ashish Reddy,598004,2013,7,6,1.0,7.0
A Ashish Reddy,598013,2013,15,12,2.0,7.5
A Ashish Reddy,598048,2013,12,6,1.0,12.0
A Ashish Reddy,829719,2015,11,6,1.0,11.0
A Ashish Reddy,829727,2015,5,6,1.0,5.0
A Ashish Reddy,829731,2015,14,12,2.0,7.0
A Ashish Reddy,829773,2015,19,12,2.0,9.5
A Ashish Reddy,980907,2016,25,11,1.8333333333333335,13.64
A Ashish Reddy,980915,2016,14,12,2.0,7.0
A Badoni,1304083,2022,6,6,1.0,6.0
A Badoni,1304109,2022,5,6,1.0,5.0
A Badoni,1422122,2024,6,6,1.0,6.0
A Badoni,1426295,2024,19,6,1.0,19.0
A Badoni,1473502,2025,4,6,1.0,4.0
A Badoni,1529272,2026,14,6,1.0,14.0
A Chandila,548336,2012,29,24,4.0,7.25
A Chandila,548365,2012,13,24,4.0,3.25
A Chandila,548373,2012,20,24,4.0,5.0
A Chandila,548377,2012,24,12,2.0,12.0
A Chandila,598014,2013,14,18,3.0,4.67
A Chandila,598019,2013,6,12,2.0,3.0
A Chandila,598023,2013,21,24,4.0,5.25
A Chandila,598026,2013,16,18,3.0,5.33
A Chandila,598032,2013,13,18,3.0,4.33
A Chandila,598036,2013,39,24,4.0,9.75
A Chandila,598047,2013,23,12,2.0,11.5
A Chandila,598052,2013,24,24,4.0,6.0
A Choudhary,1082591,2017,51,24,4.0,12.75
A Choudhary,1082621,2017,19,12,2.0,9.5
