Keeper,stumpings
MS Dhoni,47
KD Karthik,37
RV Uthappa,32
WP Saha,26
RR Pant,24
SV Samson,19
Q de Kock,17
AC Gilchrist,16
PA Patel,16
NV Ojha,10
KC Sangakkara,9
KL Rahul,8
AB de Villiers,8
H Klaasen,7
MS Bisla,7
SP Goswami,7
JM Sharma,7
KM Jadhav,7
Ishan Kishan,6
BB McCullum,6
AP Tare,6
RD Rickelton,5
DH Yagnik,5
N Pooran,4
Kamran Akmal,4
YV Takawale,4
JC Buttler,4
CM Gautam,4
JM Bairstow,4
PR Shah,3
MV Boucher,3
AT Rayudu,2
Vishnu Vinod,2
SP Jackson,2
DJ Jacobs,2
M Rawat,2
P Simran Singh,2
KB Arun Karthik,2
N Saini,2
JP Inglis,1
KS Bharat,1
Gurkeerat Singh,1
Dhruv Jurel,1
SW Billings,1
T Stubbs,1
TL Seifert,1
KH Devdhar,1
MS Wade,1
A Raghuvanshi,1
