Player,dob,age,battingStyles,bowlingStyles
RD Gaikwad,31/1/1997,29.3,rhb,ob
MM Ali,18/6/1987,39.0,lhb,ob
Aravelly Avanish,2/6/2005,21.0,lhb,Na
DL Chahar,7/8/1992,33.8,rhb,rm
TU Deshpande,15/5/1995,31.0,lhb,rm
MS Dhoni,7/7/1981,44.9,rhb,rm
S Dube,26/6/1993,32.9,lhb,rm
RJ Gleeson,2/12/1987,38.5,rhb,rfm
RS Hangargekar,10/11/2002,23.6,rhb,rfm
RA Jadeja,6/12/1988,37.5,lhb,sla
AJ Mandal,25/2/1996,30.3,lhb,sla
DJ Mitchell,20/5/1991,35.0,rhb,rm
Mukesh Choudhary,6/7/1996,29.9,lhb,lm
Mustafizur Rahman,6/9/1995,30.7,lhb,lfm
M Pathirana,18/12/2002,23.5,rhb,rf
AM Rahane,6/6/1988,38.0,rhb,rm
SK Rasheed,24/9/2004,21.7,rhb,lb
R Ravindra,18/11/1999,26.5,lhb,sla
Sameer Rizvi,6/12/2003,22.5,rhb,ob
MJ Santner,5/2/1992,34.3,lhb,sla
Simarjeet Singh,17/1/1998,28.4,rhb,rmf
N Sindhu,9/4/2004,22.1,lhb,sla
PH Solanki,22/2/2000,26.3,rhb,lb
SN Thakur,16/10/1991,34.6,rhb,rm
M Theekshana,1/8/2000,25.8,rhb,ob
DP Conway,8/7/1991,34.9,lhb,rm
RR Pant,4/10/1997,28.7,lhb,Na
Abishek Porel,17/10/2002,23.6,lhb,Na
KK Ahmed,5/12/1997,28.5,rhb,lfm
RK Bhui,29/9/1996,29.7,rhb,lbg
SS Chikara,3/4/2005,21.2,rhb,ob
YV Dhull,11/11/2002,23.6,rhb,ob
P Dubey,1/7/1993,32.9,rhb,lbg
J Fraser-McGurk,11/4/2002,24.1,rhb,lbg
SD Hope,10/11/1993,32.6,rhb,Na
Kuldeep Yadav,14/12/1994,31.5,lhb,lws
K Kushagra,23/10/2004,21.6,rhb,Na
Lalit Yadav,3/1/1997,29.4,rhb,ob
MR Marsh,20/10/1991,34.6,rhb,rm
Mukesh Kumar,12/10/1993,32.6,rhb,rm
A Nortje,16/11/1993,32.5,rhb,rf
VK Ostwal,1/9/2002,23.7,rhb,sla
AR Patel,20/1/1994,32.4,lhb,sla
Rasikh Salam,5/4/2000,26.2,rhb,rm
JA Richardson,20/9/1996,29.7,rhb,rf
I Sharma,2/9/1988,37.7,rhb,rfm
PP Shaw,9/11/1999,26.6,rhb,ob
T Stubbs,14/8/2000,25.8,rhb,ob
Sumit Kumar,12/12/1995,30.5,rhb,rmf
DA Warner,27/10/1986,39.6,lhb,lb
LB Williams,1/10/1993,32.7,lhb,rmf
HC Brook,22/2/1999,27.3,rhb,rm
L Ngidi,29/3/1996,30.2,rhb,rfm
Shubman Gill,8/9/1999,26.7,rhb,ob
Azmatullah Omarzai,24/3/2000,26.2,rhb,rmf
SH Johnson,16/12/1995,30.5,lhb,lf
Kartik Tyagi,8/11/2000,25.6,rhb,rf
JB Little,1/11/1999,26.6,rhb,lfm
A Manohar,16/9/1994,31.7,rhb,lbg
DA Miller,10/6/1989,37.0,lhb,ob
SS Mishra,23/12/2000,25.4,lhb,lmf
DG Nalkande,4/10/1998,27.7,rhb,rfm
Noor Ahmad,3/1/2005,21.4,rhb,lws
Rashid Khan,20/9/1998,27.7,rhb,lbg
WP Saha,24/10/1984,41.6,rhb,Na
R Sai Kishore,6/11/1996,29.6,lhb,sla
B Sai Sudharsan,15/10/2001,24.6,lhb,lb
S Sandeep Warrier,4/4/1991,35.2,rhb,rm
M Shahrukh Khan,27/5/1995,31.0,rhb,ob
V Shankar,26/1/1991,35.3,rhb,rm
BR Sharath,28/9/1996,29.7,rhb,Na
MM Sharma,18/9/1988,37.7,rhb,rm
MJ Suthar,3/8/2002,23.8,lhb,sla
R Tewatia,20/5/1993,33.0,lhb,lb
MS Wade,26/12/1987,38.4,lhb,rm
KS Williamson,8/8/1990,35.8,rhb,ob
J Yadav,22/1/1990,36.4,rhb,ob
UT Yadav,25/10/1987,38.6,rhb,rf
R Minz,13/9/2002,23.7,lhb,sla
Mohammed Shami,3/9/1990,35.7,rhb,rf
SS Iyer,6/12/1994,31.5,rhb,ob
VG Arora,14/12/1997,28.5,rhb,rfm
KS Bharat,3/10/1993,32.7,rhb,Na
PVD Chameera,11/1/1992,34.4,rhb,rf
AM Ghazanfar,15/7/2007,18.9,rhb,ob
Harshit Rana,22/12/2001,24.4,rhb,rf
VR Iyer,25/12/1994,31.4,lhb,rm
SP Narine,26/5/1988,38.0,lhb,ob
MK Pandey,10/9/1989,36.7,rhb,rm
A Raghuvanshi,5/6/2005,21.0,rhb,sla
Rahmanullah Gurbaz,28/11/2001,24.5,rhb,Na
Ramandeep Singh,13/4/1997,29.1,rhb,rm
N Rana,27/12/1993,32.4,lhb,rm
AS Roy,30/11/1998,27.5,lhb,sla
AD Russell,29/4/1988,38.1,rhb,rf
SE Rutherford,15/8/1998,27.8,lhb,rfm
C Sakariya,28/2/1998,28.3,lhb,lmf
Sakib Hussain,14/12/2004,21.5,rhb,rm
PD Salt,28/8/1996,29.8,rhb,ob
RK Singh,12/10/1997,28.6,lhb,ob
MA Starc,30/1/1990,36.3,lhb,lf
Suyash Sharma,15/5/2003,23.0,rhb,lbg
CV Varun,29/8/1991,34.8,rhb,lbg
AAP Atkinson,19/1/1998,28.4,rhb,rfm
Mujeeb Ur Rahman,28/3/2001,25.2,rhb,ob
JJ Roy,21/7/1990,35.9,rhb,Na
KL Rahul,18/4/1992,34.1,rhb,Na
Arshad Khan,20/12/1997,28.4,lhb,lm
A Badoni,3/12/1999,26.5,rhb,ob
