,balls_faced,balls_bowled,role
A Ashish Reddy,193.0,262.0,All-rounder
A Badoni,834.0,41.0,Batter
A Chandila,7.0,234.0,Bowler
A Chopra,71.0,0.0,Insufficient data
A Choudhary,20.0,101.0,Insufficient data
A Dananjaya,5.0,24.0,Insufficient data
A Flintoff,53.0,66.0,Insufficient data
A Kamboj,50.0,491.0,Bowler
A Kumble,47.0,965.0,Bowler
A Manohar,235.0,0.0,Batter
A Mhatre,239.0,0.0,Batter
A Mishra,417.0,3371.0,Bowler
A Mithun,26.0,288.0,Bowler
A Mukund,22.0,0.0,Insufficient data
A Nehra,60.0,1908.0,Bowler
A Nortje,50.0,1120.0,Bowler
A Raghuvanshi,606.0,0.0,Batter
A Singh,9.0,473.0,Bowler
A Symonds,745.0,527.0,All-rounder
A Tomar,8.0,0.0,Insufficient data
A Uniyal,7.0,36.0,Insufficient data
A Zampa,24.0,467.0,Bowler
AA Bilakhia,84.0,0.0,Insufficient data
AA Chavan,11.0,248.0,Bowler
AA Jhunjhunwala,209.0,85.0,Batter
AA Kulkarni,33.0,0.0,Insufficient data
AA Noffke,10.0,24.0,Insufficient data
AB Agarkar,151.0,782.0,Bowler
AB Barath,42.0,0.0,Insufficient data
AB Dinda,48.0,1516.0,Bowler
AB McDonald,100.0,186.0,All-rounder
AB de Villiers,3400.0,0.0,Batter
AC Blizzard,90.0,0.0,Insufficient data
AC Gilchrist,1483.0,1.0,Batter
AC Thomas,19.0,315.0,Bowler
AC Voges,143.0,54.0,Batter
AD Hales,117.0,0.0,Insufficient data
AD Mascarenhas,78.0,308.0,Bowler
AD Mathews,573.0,791.0,All-rounder
AD Nath,98.0,0.0,Insufficient data
AD Russell,1509.0,1806.0,All-rounder
AF Milne,31.0,227.0,Bowler
AG Murtaza,14.0,264.0,Bowler
AG Paunikar,55.0,0.0,Insufficient data
AJ Finch,1626.0,43.0,Batter
AJ Hosein,13.0,172.0,Bowler
AJ Turner,28.0,0.0,Insufficient data
AJ Tye,75.0,685.0,Bowler
AK Markram,1228.0,223.0,Batter
AL Menaria,354.0,110.0,Batter
AM Ghazanfar,3.0,233.0,Bowler
AM Nayar,573.0,229.0,Batter
AM Rahane,4269.0,6.0,Batter
AN Ahmed,26.0,344.0,Bowler
AN Ghosh,8.0,0.0,Insufficient data
AP Dole,22.0,66.0,Insufficient data
AP Majumdar,76.0,0.0,Insufficient data
AP Tare,272.0,0.0,Batter
AR Bawne,12.0,0.0,Insufficient data
AR Patel,1557.0,3585.0,All-rounder
AS Joseph,32.0,434.0,Bowler
AS Rajpoot,41.0,530.0,Bowler
AS Raut,167.0,30.0,Batter
AS Roy,64.0,323.0,Bowler
AS Yadav,39.0,0.0,Insufficient data
AT Carey,29.0,0.0,Insufficient data
AT Rayudu,3391.0,0.0,Batter
AU Rashid,15.0,60.0,Insufficient data
AUK Pathan,23.0,39.0,Insufficient data
Abdul Basith,1.0,0.0,Insufficient data
Abdul Samad,575.0,57.0,Batter
Abdur Razzak,2.0,12.0,Insufficient data
Abhishek Sharma,1383.0,365.0,Batter
Abishek Porel,528.0,0.0,Batter
Akash Deep,14.0,278.0,Bowler
Akash Madhwal,14.0,352.0,Bowler
Akshat Raghuwanshi,25.0,0.0,Insufficient data
Aman Hakim Khan,104.0,6.0,Insufficient data
Aniket Verma,196.0,0.0,Batter
Anirudh Singh,66.0,0.0,Insufficient data
Ankit Sharma,67.0,367.0,Bowler
Ankit Soni,9.0,109.0,Insufficient data
Anmolpreet Singh,115.0,0.0,Insufficient data
Anuj Rawat,267.0,0.0,Batter
Anureet Singh,47.0,412.0,Bowler
Arjun Tendulkar,14.0,97.0,Insufficient data
Arshad Khan,95.0,364.0,Bowler
Arshad Khan (2),4.0,12.0,Insufficient data
Arshdeep Singh,47.0,2032.0,Bowler
Ashok Sharma,4.0,126.0,Insufficient data
Ashutosh Sharma,328.0,0.0,Batter
Ashwani Kumar,6.0,183.0,Bowler
Atharva Taide,177.0,1.0,Batter
Auqib Nabi,3.0,78.0,Insufficient data
Avesh Khan,43.0,1767.0,Bowler
Azhar Mahmood,303.0,537.0,All-rounder
Azmatullah Omarzai,101.0,354.0,Bowler
B Akhil,55.0,188.0,Bowler
B Chipli,250.0,6.0,Batter
B Indrajith,30.0,0.0,Insufficient data
B Kumar,376.0,4600.0,Bowler
B Laughlin,13.0,168.0,Bowler
B Lee,96.0,875.0,Bowler
B Sai Sudharsan,1675.0,0.0,Batter
B Stanlake,2.0,144.0,Insufficient data
B Sumanth,37.0,0.0,Insufficient data
BA Bhatt,7.0,296.0,Bowler
BA Stokes,695.0,689.0,All-rounder
BAW Mendis,6.0,244.0,Bowler
BB McCullum,2176.0,0.0,Batter
BB Samantray,113.0,0.0,Insufficient data
BB Sran,13.0,483.0,Bowler
BCJ Cutting,141.0,281.0,All-rounder
BE Hendricks,3.0,150.0,Bowler
BJ Haddin,11.0,0.0,Insufficient data
BJ Hodge,1112.0,234.0,Batter
BJ Rohrer,141.0,6.0,Insufficient data
BKG Mendis,10.0,0.0,Insufficient data
BMAJ Mendis,27.0,30.0,Insufficient data
BR Dunk,35.0,0.0,Insufficient data
BR Sharath,5.0,0.0,Insufficient data
Basil Thampi,35.0,521.0,Bowler
Bipul Sharma,123.0,426.0,Bowler
Brijesh Sharma,4.0,273.0,Bowler
C Bosch,63.0,163.0,Bowler
C Connolly,299.0,0.0,Batter
C Green,677.0,571.0,All-rounder
C Madan,18.0,0.0,Insufficient data
C Munro,141.0,12.0,Batter
C Nanda,1.0,48.0,Insufficient data
C Sakariya,30.0,444.0,Bowler
C de Grandhomme,224.0,216.0,All-rounder
CA Ingram,179.0,0.0,Batter
CA Lynn,941.0,0.0,Batter
CA Pujara,390.0,0.0,Batter
CH Gayle,3331.0,554.0,Batter
CH Morris,397.0,1726.0,Bowler
CJ Anderson,421.0,297.0,All-rounder
CJ Ferguson,117.0,0.0,Insufficient data
CJ Jordan,77.0,674.0,Bowler
CJ McKay,15.0,42.0,Insufficient data
CK Kapugedera,22.0,17.0,Insufficient data
CK Langeveldt,9.0,156.0,Bowler
CL White,757.0,42.0,Batter
CM Gautam,149.0,0.0,Insufficient data
CR Brathwaite,110.0,254.0,All-rounder
CR Woakes,77.0,440.0,Bowler
CRD Fernando,3.0,234.0,Bowler
CV Varun,53.0,2136.0,Bowler
D Brevis,415.0,3.0,Batter
D Ferreira,191.0,18.0,Batter
D Kalyankrishna,8.0,48.0,Insufficient data
D Padikkal,1700.0,0.0,Batter
D Pretorius,28.0,150.0,Bowler
D Salunkhe,24.0,47.0,Insufficient data
D Wiese,100.0,296.0,Bowler
D du Preez,13.0,42.0,Insufficient data
DA Miller,2350.0,0.0,Batter
DA Payne,5.0,30.0,Insufficient data
DA Warner,4682.0,1.0,Batter
DAJ Bracewell,9.0,24.0,Insufficient data
DB Das,260.0,0.0,Batter
DB Ravi Teja,315.0,18.0,Batter
DE Bollinger,22.0,576.0,Bowler
DG Nalkande,12.0,84.0,Insufficient data
DH Yagnik,133.0,0.0,Insufficient data
DJ Bravo,1196.0,3120.0,Bowler
DJ Harris,101.0,18.0,Insufficient data
DJ Hooda,1167.0,379.0,Batter
DJ Hussey,1070.0,317.0,Batter
DJ Jacobs,98.0,0.0,Insufficient data
DJ Malan,26.0,0.0,Insufficient data
DJ Mitchell,267.0,48.0,Batter
DJ Muthuswami,3.0,84.0,Insufficient data
DJ Thornely,53.0,42.0,Insufficient data
DJ Willey,62.0,216.0,Bowler
DJG Sammy,241.0,236.0,All-rounder
DJM Short,99.0,18.0,Insufficient data
DL Chahar,103.0,2068.0,Bowler
DL Vettori,112.0,777.0,Bowler
DM Bravo,5.0,0.0,Insufficient data
DNT Zoysa,9.0,66.0,Insufficient data
DP Conway,770.0,0.0,Batter
DP Nannes,13.0,646.0,Bowler
DP Vijaykumar,1.0,152.0,Bowler
DPMD Jayawardene,1462.0,0.0,Batter
DR Martyn,24.0,0.0,Insufficient data
DR Sams,44.0,360.0,Bowler
DR Shorey,17.0,0.0,Insufficient data
DR Smith,1755.0,539.0,Batter
DS Kulkarni,108.0,1787.0,Bowler
DS Lehmann,18.0,0.0,Insufficient data
DS Rathi,8.0,546.0,Bowler
DT Christian,394.0,883.0,All-rounder
DT Patil,13.0,0.0,Insufficient data
DV Malewar,5.0,0.0,Insufficient data
DW Steyn,160.0,2182.0,Bowler
Dhruv Jurel,775.0,0.0,Batter
E Lewis,477.0,0.0,Batter
E Malinga,17.0,486.0,Bowler
EJG Morgan,1147.0,0.0,Batter
ER Dwivedi,14.0,0.0,Insufficient data
F Behardien,13.0,0.0,Insufficient data
F du Plessis,3506.0,6.0,Batter
FA Allen,18.0,90.0,Insufficient data
FH Allen,163.0,0.0,Batter
FH Edwards,5.0,140.0,Insufficient data
FY Fazal,172.0,12.0,Batter
Fazalhaq Farooqi,15.0,254.0,Bowler
G Coetzee,32.0,273.0,Bowler
G Gambhir,3394.0,0.0,Batter
GB Hogg,22.0,458.0,Bowler
GC Smith,664.0,0.0,Batter
GC Viljoen,7.0,138.0,Insufficient data
GD McGrath,5.0,324.0,Bowler
GD Phillips,108.0,30.0,Insufficient data
GF Linde,21.0,37.0,Insufficient data
GH Vihari,319.0,42.0,Batter
GHS Garton,4.0,90.0,Insufficient data
GJ Bailey,541.0,0.0,Batter
GJ Maxwell,1810.0,1022.0,All-rounder
GR Napier,16.0,24.0,Insufficient data
Gulbadin Naib,15.0,6.0,Insufficient data
Gurkeerat Singh,422.0,78.0,Batter
H Das,5.0,0.0,Insufficient data
H Klaasen,1253.0,0.0,Batter
HC Brook,153.0,0.0,Batter
HE van der Dussen,24.0,0.0,Insufficient data
HF Gurney,5.0,162.0,Bowler
HH Gibbs,805.0,0.0,Batter
HH Pandya,2016.0,1764.0,All-rounder
HM Amla,406.0,0.0,Batter
HR Shokeen,65.0,204.0,Bowler
HV Patel,238.0,2507.0,Bowler
Harbhajan Singh,599.0,3416.0,Bowler
Harmeet Singh,12.0,549.0,Bowler
Harpreet Brar,206.0,859.0,Bowler
Harpreet Singh,118.0,0.0,Insufficient data
Harsh Dubey,9.0,192.0,Bowler
Harshit Rana,55.0,649.0,Bowler
Himmat Singh,65.0,0.0,Insufficient data
I Malhotra,4.0,6.0,Insufficient data
I Sharma,69.0,2419.0,Bowler
I Udana,11.0,174.0,Bowler
IC Pandey,2.0,462.0,Bowler
IK Pathan,947.0,2043.0,All-rounder
IR Jaggi,97.0,0.0,Insufficient data
IS Sodhi,17.0,181.0,Bowler
Imran Tahir,37.0,1316.0,Bowler
Iqbal Abdulla,82.0,920.0,Bowler
Ishan Kishan,2501.0,1.0,Batter
J Arunkumar,23.0,0.0,Insufficient data
J Botha,358.0,694.0,All-rounder
J Fraser-McGurk,191.0,0.0,Batter
J Overton,92.0,204.0,All-rounder
J Suchith,61.0,420.0,Bowler
J Syed Mohammad,26.0,192.0,Bowler
J Theron,12.0,221.0,Bowler
J Yadav,36.0,390.0,Bowler
JA Morkel,683.0,1723.0,Bowler
JA Richardson,26.0,90.0,Insufficient data
JC Archer,220.0,1581.0,Bowler
JC Buttler,3094.0,0.0,Batter
JD Ryder,455.0,236.0,All-rounder
JD Unadkat,169.0,2351.0,Bowler
JDP Oram,107.0,237.0,All-rounder
JDS Neesham,93.0,216.0,All-rounder
JE Root,15.0,12.0,Insufficient data
JE Taylor,3.0,117.0,Insufficient data
JEC Franklin,300.0,151.0,All-rounder
JG Bethell,116.0,0.0,Insufficient data
JH Kallis,2213.0,1742.0,All-rounder
JJ Bumrah,85.0,3653.0,Bowler
JJ Roy,441.0,0.0,Batter
JJ van der Wath,16.0,72.0,Insufficient data
JL Denly,1.0,0.0,Insufficient data
JL Pattinson,13.0,213.0,Bowler
JM Bairstow,1142.0,0.0,Batter
JM Kemp,24.0,44.0,Insufficient data
JM Sharma,723.0,0.0,Batter
JO Holder,261.0,1225.0,Bowler
JP Behrendorff,9.0,366.0,Bowler
JP Duminy,1631.0,678.0,Batter
JP Faulkner,385.0,1238.0,Bowler
JP Inglis,313.0,0.0,Batter
JPR Scantlebury-Searles,6.0,42.0,Insufficient data
JR Hazlewood,30.0,1176.0,Bowler
JR Hopes,305.0,360.0,All-rounder
JR Philippe,77.0,0.0,Insufficient data
Jaskaran Singh,11.0,102.0,Insufficient data
Joginder Sharma,30.0,256.0,Bowler
K Goel,231.0,66.0,Batter
K Gowtham,148.0,588.0,Bowler
K Kartikeya,17.0,282.0,Bowler
K Rabada,238.0,2301.0,Bowler
K Upadhyay,9.0,54.0,Insufficient data
K Yadav,4.0,54.0,Insufficient data
KA Jamieson,73.0,300.0,Bowler
KA Maharaj,2.0,36.0,Insufficient data
KA Pollard,2315.0,1488.0,All-rounder
KAJ Roach,9.0,48.0,Insufficient data
KB Arun Karthik,51.0,0.0,Insufficient data
KC Cariappa,21.0,216.0,Bowler
KC Sangakkara,1385.0,0.0,Batter
KD Karthik,3570.0,0.0,Batter
KH Pandya,1477.0,2701.0,All-rounder
KJ Abbott,8.0,96.0,Insufficient data
KK Ahmed,9.0,1657.0,Bowler
KK Cooper,67.0,576.0,Bowler
KK Nair,1302.0,0.0,Batter
KL Nagarkoti,33.0,180.0,Bowler
KL Rahul,4176.0,0.0,Batter
KM Asif,2.0,134.0,Insufficient data
KM Jadhav,969.0,0.0,Batter
KMA Paul,24.0,163.0,Bowler
KMDN Kulasekara,3.0,102.0,Insufficient data
KP Appanna,4.0,216.0,Bowler
KP Pietersen,742.0,174.0,Batter
KR Mayers,258.0,42.0,Batter
KR Sen,3.0,241.0,Bowler
KS Bharat,161.0,0.0,Batter
KS Rathore,5.0,0.0,Insufficient data
KS Sharma,25.0,0.0,Insufficient data
KS Williamson,1692.0,18.0,Batter
KT Maphaka,2.0,66.0,Insufficient data
KV Sharma,295.0,1585.0,Bowler
KW Richardson,39.0,335.0,Bowler
Kamran Akmal,77.0,0.0,Insufficient data
Kamran Khan,5.0,166.0,Bowler
Karanveer Singh,17.0,204.0,Bowler
Kartik Sharma,216.0,0.0,Batter
Kartik Tyagi,26.0,728.0,Bowler
Krish Bhagat,21.0,36.0,Insufficient data
Kuldeep Yadav,253.0,2286.0,Bowler
Kumar Kushagra,21.0,0.0,Insufficient data
L Ablish,2.0,42.0,Insufficient data
L Balaji,49.0,1512.0,Bowler
L Ngidi,8.0,620.0,Bowler
L Ronchi,34.0,0.0,Insufficient data
L Wood,3.0,36.0,Insufficient data
LA Carseldine,66.0,6.0,Insufficient data
LA Pomersbach,243.0,0.0,Batter
LB Williams,2.0,37.0,Insufficient data
LE Plunkett,3.0,150.0,Bowler
LG Pretorius,8.0,0.0,Insufficient data
LH Ferguson,46.0,1092.0,Bowler
LJ Wright,59.0,71.0,Insufficient data
LMP Simmons,848.0,18.0,Batter
LPC Silva,26.0,6.0,Insufficient data
LR Shukla,350.0,314.0,All-rounder
LRPL Taylor,818.0,12.0,Batter
LS Livingstone,680.0,312.0,All-rounder
Lalit Yadav,285.0,288.0,All-rounder
