Player,debut_season,latest_season,missed_count,missed_seasons
A Ashish Reddy,2012,2016,1,2014
A Badoni,2022,2026,0,
A Chandila,2012,2013,0,
A Chopra,2008,2009,0,
A Choudhary,2017,2017,0,
A Dananjaya,2018,2018,0,
A Flintoff,2009,2009,0,
A Kamboj,2024,2026,0,
A Kumble,2008,2010,0,
A Manohar,2022,2025,0,
A Mhatre,2025,2026,0,
A Mishra,2008,2024,1,2022
A Mithun,2009,2013,0,
A Mukund,2008,2013,4,"2009,2010,2011,2012"
A Nehra,2008,2017,1,2011
A Nel,2008,2008,0,
A Nortje,2020,2026,0,
A Raghuvanshi,2024,2026,0,
A Singh,2009,2012,1,2010
A Symonds,2008,2011,0,
A Tomar,2022,2022,0,
A Uniyal,2010,2010,0,
A Zampa,2016,2025,5,"2018,2019,2021,2022,2024"
AA Bilakhia,2009,2010,0,
AA Chavan,2011,2013,0,
AA Jhunjhunwala,2010,2012,0,
AA Kazi,2011,2011,0,
AA Kulkarni,2024,2026,1,2025
AA Noffke,2008,2008,0,
AB Agarkar,2008,2013,0,
AB Barath,2010,2010,0,
AB Dinda,2008,2017,0,
AB McDonald,2009,2013,0,
AB de Villiers,2008,2021,0,
AC Blizzard,2011,2012,0,
AC Gilchrist,2008,2013,0,
AC Thomas,2011,2012,0,
AC Voges,2010,2010,0,
AD Hales,2018,2018,0,
AD Mascarenhas,2008,2013,1,2011
AD Mathews,2009,2017,3,"2011,2014,2016"
AD Nath,2016,2019,0,
AD Russell,2012,2025,1,2017
AF Milne,2016,2026,6,"2018,2019,2020,2023,2024,2025"
AG Murtaza,2010,2013,0,
AG Paunikar,2010,2011,0,
AJ Finch,2010,2022,2,"2019,2021"
AJ Hosein,2023,2026,2,"2024,2025"
AJ Turner,2019,2024,4,"2020,2021,2022,2023"
AJ Tye,2017,2022,1,2021
AK Markram,2021,2026,0,
AL Menaria,2011,2013,0,
AM Ghazanfar,2026,2026,0,
AM Nayar,2008,2014,0,
AM Rahane,2008,2026,1,2010
AM Salvi,2009,2011,1,2010
AN Ahmed,2010,2015,0,
AN Ghosh,2009,2009,0,
AP Dole,2010,2010,0,
AP Majumdar,2012,2012,0,
AP Tare,2010,2017,2,"2011,2012"
AR Bawne,2017,2017,0,
AR Patel,2014,2026,0,
AS Joseph,2019,2024,2,"2020,2021"
AS Rajpoot,2013,2020,2,"2014,2015"
AS Raut,2009,2011,0,
AS Roy,2019,2026,2,"2020,2021"
AS Yadav,2008,2008,0,
AT Carey,2020,2020,0,
AT Rayudu,2010,2023,0,
AU Rashid,2021,2023,1,2022
AUK Pathan,2011,2012,0,
Abdul Basith,2023,2023,0,
Abdul Samad,2020,2026,0,
Abdur Razzak,2008,2008,0,
Abhinandan Singh,2026,2026,0,
Abhishek Sharma,2018,2026,0,
Abishek Porel,2023,2026,0,
Akash Deep,2022,2025,0,
Akash Madhwal,2023,2025,0,
Akash Singh,2021,2026,2,"2022,2024"
Akshat Raghuwanshi,2026,2026,0,
Aman Hakim Khan,2022,2023,0,
Anand Rajan,2011,2013,0,
Aniket Verma,2025,2026,0,
Anirudh Singh,2010,2010,0,
Ankit Sharma,2012,2018,0,
Ankit Soni,2017,2017,0,
Anmolpreet Singh,2021,2024,0,
Anuj Rawat,2021,2024,0,
Anureet Singh,2009,2018,5,"2010,2011,2012,2013,2014"
Arjun Tendulkar,2023,2026,1,2025
Arshad Khan,2023,2026,0,
Arshad Khan (2),2024,2024,0,
Arshdeep Singh,2019,2026,0,
Ashok Sharma,2026,2026,0,
Ashutosh Sharma,2024,2026,0,
Ashwani Kumar,2025,2026,0,
Atharva Taide,2023,2025,0,
Auqib Nabi,2026,2026,0,
Avesh Khan,2017,2026,0,
Azhar Mahmood,2012,2015,1,2014
Azmatullah Omarzai,2024,2026,0,
B Akhil,2008,2011,0,
B Chipli,2008,2013,2,"2009,2010"
B Geeves,2008,2008,0,
B Indrajith,2022,2022,0,
B Kumar,2011,2026,0,
B Laughlin,2013,2018,4,"2014,2015,2016,2017"
B Lee,2008,2013,0,
B Muzarabani,2026,2026,0,
B Sai Sudharsan,2022,2026,0,
B Stanlake,2017,2018,0,
B Sumanth,2010,2010,0,
BA Bhatt,2011,2013,0,
BA Stokes,2017,2023,1,2022
BAW Mendis,2008,2013,2,"2011,2012"
BB McCullum,2008,2018,0,
BB Samantray,2012,2013,0,
BB Sran,2015,2019,0,
BCJ Cutting,2014,2019,1,2015
BE Hendricks,2014,2015,0,
BJ Dwarshuis,2026,2026,0,
BJ Haddin,2011,2011,0,
BJ Hodge,2008,2014,0,
BJ Rohrer,2013,2013,0,
BKG Mendis,2025,2025,0,
BMAJ Mendis,2013,2013,0,
BR Dunk,2014,2014,0,
